t,n_trades_alive,n_winners_alive,all_mfe_p10,all_mfe_p25,all_mfe_p50,all_mfe_p75,all_mfe_p90,all_mae_p10,all_mae_p25,all_mae_p50,all_mae_p75,all_mae_p90,win_mfe_p10,win_mfe_p25,win_mfe_p50,win_mfe_p75,win_mfe_p90,win_mae_p10,win_mae_p25,win_mae_p50,win_mae_p75,win_mae_p90
69,3290,1631,0.6350202408219027,1.615032767509567,3.5597424470377534,6.3566523140890965,9.163922613863262,-9.387867952278826,-6.335704291447131,-3.5571036944956815,-1.658671092618639,-0.6542785179853783,3.5452086597137167,4.320653979826103,6.049421362864648,8.30923978148454,11.008128275466275,-3.9481350820268983,-2.807622030858518,-1.6959014528392393,-0.848283363808245,-0.37709077837639954
70,3290,1631,0.6355581219834775,1.6261323161771082,3.590417592960126,6.379306319945985,9.190828658150188,-9.501959973050443,-6.390697365243147,-3.5655337396872633,-1.670533477202285,-0.6618610218705121,3.547289124643024,4.351063047695753,6.09269991367788,8.340157773172209,11.1497982412982,-4.0653777371741615,-2.814555488444026,-1.7192199566867739,-0.8542267528976988,-0.3807462490101311
71,3289,1631,0.6369260746507422,1.6346251466900725,3.6277538672950005,6.419152956416995,9.254782459468021,-9.511245637218842,-6.414335969074958,-3.5908319764372965,-1.6762089430405593,-0.6647661825700271,3.55803553248604,4.38574456964937,6.1171326262345715,8.355543453971741,11.258078436680231,-4.178199144445712,-2.8233333058897294,-1.7249160663551082,-0.8560329009783855,-0.3817481105639012
72,3289,1631,0.6538735822606687,1.6589788798416523,3.6499866307885647,6.459612326336114,9.308982498537153,-9.557219250921543,-6.45692428815802,-3.602929957080632,-1.6896562931736314,-0.684189062367151,3.5662359707743705,4.386982201632658,6.190990352875153,8.387434518656793,11.280813559548974,-4.204327005967039,-2.833777662626949,-1.7390272815038754,-0.8591256517554833,-0.38233633685363827
73,3289,1631,0.6538735822606687,1.6638714711702343,3.698575050368123,6.472014372956865,9.411759356441145,-9.657371160104887,-6.494062959694472,-3.656934396975913,-1.6954732888305952,-0.6857880944207957,3.593751296897395,4.4231216695543,6.225223959116602,8.480076160835639,11.351515217918905,-4.236199750733341,-2.8424317778536845,-1.7601874202581356,-0.8658537662895651,-0.38486363526384676
74,3289,1631,0.6556424369012858,1.6749930483478008,3.726535398415728,6.4941262350759175,9.522169223934432,-9.725691208531536,-6.555041102204275,-3.690705878075431,-1.7221707570126121,-0.6901988049610975,3.604232660483514,4.443086726487072,6.265348546338557,8.561979891677874,11.426777428324979,-4.338093916792546,-2.8500626376412486,-1.7715506784416806,-0.8681624933156717,-0.38486363526384676
75,3289,1631,0.6563801747041468,1.6764649104521157,3.7515953948393785,6.537993851497226,9.542490755136805,-9.85397422398862,-6.599603936274913,-3.711261910457946,-1.7390272815038754,-0.6919941952011089,3.6184249326851936,4.478909596850814,6.289345454033774,8.578455543673027,11.440330081752943,-4.487734499794769,-2.883009606961541,-1.7840149732179373,-0.8736405345473954,-0.38486363526384676
76,3289,1631,0.6611937112885757,1.693351046874053,3.7735018677178456,6.575422167447158,9.57736919015911,-9.8786697141073,-6.624548135345247,-3.7401557584095317,-1.7661805988429566,-0.7021713688075047,3.6499866307885647,4.494766849991599,6.307766242318178,8.652655946093349,11.533899426044071,-4.603374916613207,-2.8970209882202163,-1.7953336271189664,-0.8773852914429952,-0.38521469685938586
77,3289,1631,0.6697596566087846,1.6993398423013113,3.801660526458794,6.615139890196918,9.638405341316165,-9.970220646266297,-6.654378053203657,-3.7563459202665768,-1.7776890244815435,-0.7047632161355506,3.672488895126432,4.516089731633989,6.334790244609115,8.71869356679607,11.611667397161575,-4.633023104058748,-2.9312914013765736,-1.8183068262444737,-0.8818415300882267,-0.38521469685938586
78,3289,1631,0.6719163237678077,1.704718537157846,3.8092934354068775,6.657963489388821,9.709263372113059,-10.057069333295196,-6.696912183942466,-3.76679475875144,-1.7840149732179373,-0.7047632161355506,3.684331943458354,4.551177057095137,6.34882980879841,8.760957705952709,11.78562443262298,-4.721977615744239,-2.9396010984931813,-1.8233288806724213,-0.8845892113722988,-0.38521469685938586
