dataset,K,archetype_id,clean,meaty,predictable,size_viable,not_overlap,qualifies_as_v2_0_evidence,size_fraction_of_pool,monotonicity_centroid,local_peaks_centroid,pullback_magnitude_centroid,final_r_mean,frac_reach_1R,fwd_mfe_h240_p50,frac_wrong_way,auc_mean,shape_tag
kh24,6,1,True,False,False,True,True,False,0.16998191681735986,0.6276758937759603,2.3085106382978715,0.017131694770873854,-0.307816154521672,0.7872340425531915,2.879025936126709,0.5531914893617021,0.5344238561447314,bimodal
kh24,6,2,False,True,False,False,True,False,0.12115732368896925,0.5803977206571779,14.71641791044776,0.022155492163416182,2.394903107699174,1.0,5.384547233581543,0.04477611940298507,0.571336032388664,bimodal
kh24,6,3,False,False,False,False,True,False,0.07233273056057866,0.02375000007450556,1.6999999999999997,0.0125660639256239,-0.34342054021544755,0.775,3.0890703201293945,0.575,0.5740000000000001,bimodal
kh24,6,4,False,False,False,True,True,False,0.24954792043399637,0.6083876987298331,5.036231884057971,0.024816681509432555,0.4684933480415223,0.9130434782608695,3.264410376548767,0.30434782608695654,0.5556327214111014,bimodal
kh24,6,5,False,False,False,True,True,False,0.30198915009041594,0.014970060237154137,0.27544910179639626,1.1796119636642288e-16,-0.7383414785695558,0.7305389221556886,2.3178601264953613,0.718562874251497,0.5570362838915471,bimodal
kh24,7,0,False,False,True,False,True,False,0.0759493670886076,0.038492064036074025,1.7619047619047619,0.015285048101629548,-0.315129203854927,0.7857142857142857,2.932231068611145,0.5476190476190477,0.6180050505050505,bimodal
kh24,7,1,False,True,False,True,True,False,0.24593128390596744,0.6101997733554421,5.1911764705882355,0.015408270170583417,0.5155589107478804,0.9117647058823529,3.301337718963623,0.2867647058823529,0.5382015594451607,bimodal
kh24,7,2,False,False,False,False,True,False,0.023508137432188065,0.43600844419919527,2.846153846153846,0.7490350191409771,-0.43481144824853313,0.6923076923076923,1.8473995923995972,0.6153846153846154,0.361266846361186,bimodal
kh24,7,3,False,True,False,False,True,False,0.11030741410488246,0.5796893160851275,15.147540983606559,0.01624491077954654,2.5213075840815167,1.0,5.134607315063477,0.04918032786885246,0.5505209960429033,bimodal
kh24,7,4,False,False,False,True,True,False,0.30198915009041594,0.014970060237154137,0.27544910179639626,1.1796119636642288e-16,-0.7383414785695558,0.7305389221556886,2.3178601264953613,0.718562874251497,0.5570362838915471,bimodal
kh24,7,5,False,False,False,False,True,False,0.08318264014466546,0.5139353515013405,4.565217391304348,0.32402603878923075,-0.0023439557635751757,0.8043478260869565,2.8758606910705566,0.45652173913043476,0.36126010101010103,bimodal
kh24,7,6,True,False,False,True,True,False,0.15913200723327306,0.6424146176061847,2.261363636363635,0.007616955786943387,-0.3288778830531307,0.7840909090909091,3.0372151136398315,0.5681818181818182,0.5320743454076787,bimodal
arc1,3,0,False,False,False,True,True,False,0.5408884899174567,0.07166602574486272,0.0001619170983792051,5.025277069470313e-17,-0.28949691947267653,0.8030278497409327,2.919265031814575,0.6004695595854922,0.5256034495983709,bimodal
arc1,3,1,False,False,False,True,True,False,0.4588049832504981,0.47947093518658185,1.0179909329513737,7.133372421344059e-05,0.35168399969432795,0.8987831066571224,3.5428900718688965,0.3729897399188738,0.5254309042026234,bimodal
arc1,3,2,False,False,True,False,True,False,0.00030652683204519083,0.5489087988223349,4.999999999999998,0.49811013468674253,-0.3157306505101068,0.9285714285714286,1.9503925442695618,0.5,0.6961882265147333,bimodal
arc1,4,0,True,True,False,True,True,False,0.22028331837190462,0.9982965176709417,1.034986581850579,9.771252428488451e-05,0.5922588947720714,0.9300268362985786,3.740964889526367,0.2884405128714839,0.5099022058269759,bimodal
arc1,4,1,False,False,False,True,True,False,0.5408884899174567,0.07166602574486272,0.0001619170983792051,5.025277069470313e-17,-0.28949691947267653,0.8030278497409327,2.919265031814575,0.6004695595854922,0.5256034495983709,bimodal
arc1,4,2,False,False,True,False,True,False,0.00030652683204519083,0.5489087988223349,4.999999999999998,0.49811013468674253,-0.3157306505101068,0.9285714285714286,1.9503925442695618,0.5,0.6961882265147333,bimodal
arc1,4,3,False,False,False,True,True,False,0.23852166487859347,0.0003168884290365437,1.0022948411968589,4.697195557757858e-05,0.12950444954037377,0.869928400954654,3.367500066757202,0.4510739856801909,0.5268796423363296,bimodal
arc1,5,0,True,True,False,True,True,False,0.21969215948153176,0.9995815378807791,1.0036874626269467,6.695292950963279e-05,0.5913354077746579,0.9298385489336257,3.7438900470733643,0.2889176798883795,0.5106707172916235,bimodal
