trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,mfe_lock_active_at_exit,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit,fold
651,GBP_AUD,2022-03-22 00:00:00,2022-03-22 04:00:00,2022-03-23 08:00:00,stoploss,8,0,-1.018050139,0.1055933129,-1.210261817,4,4,2
655,GBP_CAD,2022-03-30 08:00:00,2022-03-30 12:00:00,2022-04-05 20:00:00,stoploss,27,0,-1.013614821,0.5436203695,-1.022084094,2.8,2.8,2
656,NZD_JPY,2022-03-30 12:00:00,2022-03-30 16:00:00,2022-04-07 08:00:00,trail_stop,35,1,0.1339657716,1.142460077,-0.6686951043,1,1,2
657,AUD_CAD,2022-03-31 00:00:00,2022-03-31 04:00:00,2022-04-05 16:00:00,trail_stop,22,1,1.219186106,2.021252195,-0.7110518102,1.9,1.9,2
659,NZD_CAD,2022-03-31 00:00:00,2022-03-31 04:00:00,2022-03-31 16:00:00,stoploss,4,0,-1.020159387,0.1253387948,-1.09123636,2.3,2.3,2
663,USD_CAD,2022-04-06 04:00:00,2022-04-06 08:00:00,2022-04-12 12:00:00,trail_stop,26,1,1.74541449,2.642833366,-0.3697825432,1.3,1.3,3
674,GBP_USD,2022-04-13 16:00:00,2022-04-13 20:00:00,2022-04-18 08:00:00,stoploss,16,0,-1.005947223,0.7057371347,-1.159047691,0.8,0.9,3
677,GBP_CHF,2022-04-15 16:00:00,2022-04-15 20:00:00,2022-04-20 08:00:00,trail_stop,16,1,0.5346002714,1.431389541,-0.7634595325,2.1,1.9,3
682,GBP_USD,2022-04-20 20:00:00,2022-04-21 00:00:00,2022-04-22 08:00:00,stoploss,9,0,-1.007019008,0.3525101651,-2.880912721,0.8,0.9,3
685,GBP_NZD,2022-04-21 00:00:00,2022-04-21 04:00:00,2022-04-22 08:00:00,trail_stop,8,1,0.5463859053,1.493241855,-0.4295038891,4.8,4.8,3
689,AUD_CAD,2022-04-26 12:00:00,2022-04-26 16:00:00,2022-04-28 04:00:00,stoploss,10,0,-1.014452451,0.2730752511,-1.319736938,1.9,1.9,3
690,AUD_JPY,2022-04-28 00:00:00,2022-04-28 04:00:00,2022-04-28 12:00:00,trail_stop,3,1,0.6690484404,1.517800934,-0.1892064587,0.8,0.8,3
691,NZD_JPY,2022-04-28 04:00:00,2022-04-28 08:00:00,2022-04-28 12:00:00,trail_stop,2,1,0.1914213879,1.093263547,-0.3097580051,1,1,3
692,AUD_CHF,2022-04-28 08:00:00,2022-04-28 12:00:00,2022-05-02 00:00:00,stoploss,10,0,-1.01011691,0.604124033,-1.274730615,1.4,1.4,3
696,EUR_CHF,2022-05-02 16:00:00,2022-05-02 20:00:00,2022-05-04 20:00:00,trail_stop,13,1,0.6832732038,1.505920631,-0.3481022565,1,1,3
697,AUD_CAD,2022-05-03 00:00:00,2022-05-03 04:00:00,2022-05-05 12:00:00,trail_stop,15,1,1.157129269,2.110091122,-0.110382762,1.9,1.9,3
699,AUD_USD,2022-05-06 00:00:00,2022-05-06 04:00:00,2022-05-09 00:00:00,stoploss,6,0,-1.005440192,0.1229483292,-1.207722526,1,1,3
701,NZD_CHF,2022-05-06 00:00:00,2022-05-06 04:00:00,2022-05-09 20:00:00,stoploss,11,0,-1.014359561,0.1545764502,-1.076967071,1.7,1.7,3
702,GBP_CAD,2022-05-06 04:00:00,2022-05-06 08:00:00,2022-05-11 16:00:00,trail_stop,21,1,0.7567882757,1.651022591,-0.6897162219,2.8,2.8,3
703,USD_JPY,2022-05-06 04:00:00,2022-05-06 08:00:00,2022-05-11 20:00:00,stoploss,22,0,-1.00291699,0.7593896032,-1.092898738,0.6,0.6,3
704,GBP_NZD,2022-05-06 20:00:00,2022-05-09 00:00:00,2022-05-10 12:00:00,trail_stop,10,1,1.025176226,1.893860406,-0.5549898294,4.8,4.8,3
707,AUD_CAD,2022-05-11 04:00:00,2022-05-11 08:00:00,2022-05-12 04:00:00,stoploss,6,0,-1.012821875,0.8185754896,-1.182986672,1.9,1.9,3
708,AUD_JPY,2022-05-11 04:00:00,2022-05-11 08:00:00,2022-05-12 00:00:00,stoploss,5,0,-1.003386354,0.8567475021,-1.023525425,0.8,0.8,3
712,NZD_JPY,2022-05-11 04:00:00,2022-05-11 08:00:00,2022-05-12 00:00:00,stoploss,5,0,-1.00516419,0.7880554324,-1.020443994,1,1,3
713,NZD_USD,2022-05-11 04:00:00,2022-05-11 08:00:00,2022-05-12 08:00:00,stoploss,7,0,-1.007579526,0.969490321,-1.005320809,1.1,1.1,3
714,CAD_CHF,2022-05-11 16:00:00,2022-05-11 20:00:00,2022-05-17 12:00:00,trail_stop,23,1,2.167506559,2.991969365,-0.2987483654,1.5,1.5,3
