trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,time_to_peak_mfe,calendar_year,num_higher_highs,num_higher_lows,most_recent_sh_price,most_recent_sh_age,most_recent_sl_price,most_recent_sl_age,hh_range_atr,hl_range_atr,pullback_depth_atr,trigger_body_atr,trigger_close_pos,trigger_break_size_atr
336,AUD_CHF,2022-01-24 00:00:00,2022-01-24 04:00:00,0.65587,0.6508986985,2022-01-24 12:00:00,0.6508286985,stoploss,-1.01408082,3,7.742439305,-1.516705439,1.4,1.4,0,2022,2,3,0.66587,8,0.65911,12,2.096030594,0.8528953664,4.685987758,1.025888294,0.9612676056,0.04023091351
337,EUR_CHF,2022-01-27 12:00:00,2022-01-27 16:00:00,1.03873,1.034877903,2022-02-22 00:00:00,1.034827903,stoploss,-1.012979944,105,5.885106725,-10.72662593,1,1,60,2022,2,2,1.03993,4,1.03277,9,0.7268768782,1.443369801,0.8634034267,0.2180630635,0.5659340659,0.06749571012
338,NZD_JPY,2022-01-28 00:00:00,2022-01-28 04:00:00,75.98,75.28983924,2022-01-28 20:00:00,75.28483924,stoploss,-1.007244689,5,13.40412334,-1.08670333,1,1,0,2022,2,2,76.663,7,75.789,14,0.5274133496,0.1333022752,2.103972028,0.2608087993,0.7018867925,0.04926388431
339,USD_CHF,2022-01-28 08:00:00,2022-01-28 12:00:00,0.931115,0.9265439203,2022-01-31 20:00:00,0.9264989203,stoploss,-1.009844501,9,3.317596949,-3.521049977,0.9,0.9,6,2022,2,2,0.93376,4,0.9167,14,5.858572127,2.598948352,1.774483789,0.5687934103,0.5458015267,0.1618873553
340,AUD_USD,2022-01-31 00:00:00,2022-01-31 04:00:00,0.70104,0.6950824924,2022-03-28 04:00:00,0.7505,time_exit,8.302129579,240,8.84094551,-0.0738563893,1,1,235,2022,2,2,0.71814,13,0.71214,21,0.2249262765,1.03398945,6.170777851,0.7016356984,0.92578125,0.4263527928
341,CAD_JPY,2022-01-31 00:00:00,2022-01-31 04:00:00,90.572,89.8203257,2022-02-22 00:00:00,89.8143257,stoploss,-1.007982181,96,10.67483619,-1.785347727,1.2,1.2,51,2022,2,2,91.168,8,90.098,11,0.4097519373,1.415506693,2.426271428,1.048326385,0.9800995025,0.6917889851
342,GBP_NZD,2022-02-01 08:00:00,2022-02-01 12:00:00,2.04669,2.034764905,2022-02-01 20:00:00,2.034524905,stoploss,-1.020125625,3,0.5366833409,-13.22337438,4.8,4.8,0,2022,2,3,2.04992,10,2.03641,4,4.447763188,3.615904009,1.502955531,0.9039760023,0.9005847953,0.1123680745
343,AUD_CAD,2022-02-03 08:00:00,2022-02-03 12:00:00,0.904415,0.8993669785,2022-03-31 12:00:00,0.936255,time_exit,6.307421592,240,8.279481327,-0.8013040308,1.9,1.9,129,2022,2,2,0.90734,5,0.8945,13,1.901735154,1.465920847,1.465295167,0.2694124801,0.5418326693,0.2020593601
344,NZD_JPY,2022-02-04 20:00:00,2022-02-07 00:00:00,76.149,75.59613358,2022-04-04 00:00:00,84.604,time_exit,15.29302514,240,19.54179108,-0.5082602086,1,1,212,2022,3,3,76.776,4,75.578,11,2.391174362,1.258893613,2.38171789,0.3291934447,0.7058823529,0.07958522839
345,NZD_USD,2022-02-04 20:00:00,2022-02-07 00:00:00,0.660505,0.6553996164,2022-04-04 00:00:00,0.690335,time_exit,5.842851805,240,7.708529427,-0.2477776579,1.1,1.1,226,2022,3,2,0.66829,4,0.66085,11,3.376827527,3.106524627,3.045182483,0.4152479325,0.711409396,0.1253578664
346,NZD_CAD,2022-02-08 00:00:00,2022-02-08 04:00:00,0.841765,0.8367837855,2022-04-05 04:00:00,0.867465,time_exit,5.159384291,240,7.836442249,-0.2258485341,2.3,2.3,113,2022,2,2,0.84657,11,0.84059,6,1.224600941,0.9836958376,2.850941206,0.7628661598,0.9469496021,0.2931012087
347,USD_CHF,2022-02-09 20:00:00,2022-02-10 00:00:00,0.923865,0.9200522212,2022-02-17 12:00:00,0.9200072212,stoploss,-1.011802416,34,5.878914349,-2.319830355,0.9,0.9,4,2022,3,3,0.92627,9,0.92258,8,1.400553318,2.554567288,1.526075196,0.5297973225,0.8034682081,0.2255572759
348,AUD_CHF,2022-02-10 08:00:00,2022-02-10 12:00:00,0.66415,0.6604044457,2022-02-11 04:00:00,0.6603344457,stoploss,-1.018688823,5,12.16108389,-2.386829637,1.4,1.4,1,2022,2,2,0.66438,4,0.65667,11,3.267874133,2.664492145,0.5678053523,0.4111540985,0.6,0.2830021717
349,AUD_NZD,2022-02-11 16:00:00,2022-02-11 20:00:00,1.075015,1.070669114,2022-02-21 00:00:00,1.070564114,stoploss,-1.024160782,32,4.02794752,-3.178868608,2.1,2.1,16,2022,3,3,1.07702,6,1.07213,9,1.030860034,2.554139815,2.028545608,1.02625798,0.9798387097,0.8559819922
350,GBP_USD,2022-02-11 16:00:00,2022-02-11 20:00:00,1.36015,1.351936625,2022-02-14 08:00:00,1.351896625,stoploss,-1.004870105,4,0.5040558655,-7.540140037,0.8,0.8,0,2022,4,2,1.36438,6,1.35074,20,2.262163764,0.4090888184,1.721009533,0.6818146973,0.8018867925,0.0511361023
351,EUR_CAD,2022-02-14 00:00:00,2022-02-14 04:00:00,1.44664,1.439152465,2022-02-14 16:00:00,1.439062465,stoploss,-1.012019977,4,0.4834701746,-11.72481951,1.8,1.8,1,2022,3,2,1.45622,7,1.44596,9,1.076455693,0.2190306868,2.966526534,0.8013317811,0.824933687,0.06677764842
352,USD_CAD,2022-02-15 04:00:00,2022-02-15 08:00:00,1.274825,1.267876443,2022-02-16 12:00:00,1.267811443,stoploss,-1.00935446,8,2.199737352,-4.971535939,1.3,1.3,2,2022,3,2,1.2784,5,1.26695,8,1.810447883,0.9584724085,1.336922044,0.3252473939,0.7453703704,0.2360202327
353,GBP_NZD,2022-02-16 12:00:00,2022-02-16 16:00:00,2.04092,2.029980549,2022-02-17 00:00:00,2.029740549,stoploss,-1.021938943,3,0.07952866902,-15.5218023,4.8,4.8,0,2022,2,2,2.04908,12,2.02975,17,1.597886361,1.400435873,1.797698704,0.2724085445,0.5950413223,0.159057338
354,EUR_JPY,2022-02-18 00:00:00,2022-02-18 04:00:00,130.894,129.9275803,2022-02-21 20:00:00,129.9225803,stoploss,-1.005173736,11,6.877964386,-6.727926048,1,1,1,2022,2,2,131.91,10,130.401,4,0.7657128999,0.7346704851,2.886333777,0.6560297008,0.7974068071,0.3187021259
355,EUR_USD,2022-02-18 00:00:00,2022-02-18 04:00:00,1.136845,1.131008718,2022-02-21 20:00:00,1.130973718,stoploss,-1.005996969,11,0.3778090296,-10.46813726,0.7,0.7,7,2022,2,2,1.13959,7,1.13233,5,0.9458076386,1.480394565,1.227910644,0.2775739809,0.7959183673,0.02741471416
356,AUD_JPY,2022-02-18 04:00:00,2022-02-18 08:00:00,82.983,82.13860609,2022-02-22 00:00:00,82.13460609,stoploss,-1.004737126,11,13.4238297,-1.149937242,0.8,0.8,0,2022,2,3,83.34,6,82.337,6,0.2036964012,1.86642749,1.160478228,0.3434416067,0.7363636364,0.0473712561
357,AUD_CHF,2022-02-21 00:00:00,2022-02-21 04:00:00,0.66272,0.6573529406,2022-02-22 00:00:00,0.6572829406,stoploss,-1.013042524,6,8.753396736,-1.04340191,1.4,1.4,1,2022,2,4,0.66642,4,0.66065,6,0.465804424,2.027180853,1.889435558,0.8645330109,0.8283828383,0.0931608848
