trade_id,selected_SL,final_r_X,peak_mfe_X,peak_mfe_atr,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X,sl_triggered,truncated_at_bar,peak_mfe_bar_X
656,2,-1,0.4883644969,0.9767289938,0,0,1,1,37,2
659,2,-1,0.2374883825,0.474976765,0,0,0.6,1,19,14
660,2,-1,0.3325263283,0.6650526566,0,0,0,1,6,0
661,2,-1,0.2192500449,0.4385000898,0,0,1,1,14,1
674,2,-1,0.4479504811,0.8959009622,0,0,1,1,5,1
676,2,-1,0.4371582505,0.874316501,0,0,1,1,11,1
677,2,-1,1.287159116,2.574318232,1,0,0.5428571429,1,67,35
680,2,-1,1.416549512,2.833099024,1,0,1,1,8,2
681,2,-1,0.4147986757,0.8295973514,0,0,0.6666666667,1,9,4
683,2,-1,0.4790748171,0.9581496342,0,0,1,1,25,2
684,2,-1,2.856527211,5.713054422,1,0,0.8,1,63,10
686,2,-1,0.4370658305,0.874131661,0,0,1,1,5,2
687,2,-1,2.220149949,4.440299898,1,0,0.4,1,72,6
689,2,-1,0.3810335017,0.7620670034,0,0,0,1,10,0
691,2,-1,0.4235393379,0.8470786758,0,0,0,1,18,0
693,2,-1,1.217353236,2.434706472,1,0,0.8571428571,1,27,7
694,2,-1,0.8652114012,1.730422802,0,0,0.7272727273,1,34,17
699,2,-1,2.994970745,5.98994149,1,0,0.6,1,186,38
700,2,-1,0.4933830589,0.9867661178,0,0,0.5,1,29,14
707,2,-1,0.5955134895,1.191026979,0,0,1,1,21,3
713,2,-1,0.9047142084,1.809428417,0,0,0.5,1,25,8
714,2,-1,0.9894966648,1.97899333,0,0,0.5714285714,1,10,7
719,2,-1,0.1768224704,0.3536449408,0,0,0.5,1,10,2
720,2,-1,1.093105949,2.186211898,1,0,0.6315789474,1,33,19
721,2,2.934952072,3.976122221,7.952244442,1,0,0.49,0,240,200
727,2,-1,1.159992541,2.319985082,1,0,0.8571428571,1,69,26
728,2,-1,0.5107634825,1.021526965,0,0,1,1,14,4
733,2,-1,0.5387617997,1.077523599,0,0,1,1,13,1
734,2,-1,0.3309972303,0.6619944606,0,0,1,1,8,5
739,2,-1,0.7666172713,1.533234543,0,0,0.6428571429,1,21,14
740,2,-1,0.408458483,0.816916966,0,0,1,1,41,1
741,2,-1,0.246333282,0.492666564,0,0,0,1,10,2
745,2,4.395739156,4.873737365,9.74747473,1,0,0.5446428571,0,240,224
751,2,-1,1.071516396,2.143032792,1,0,0.5714285714,1,41,12
755,2,-1,1.471608825,2.94321765,1,0,1,1,39,5
757,2,-1,0.7854735336,1.570947067,0,0,0.6666666667,1,24,3
761,2,-1,1.186716406,2.373432812,1,0,0.4444444444,1,54,26
764,2,-1,0.2901103549,0.5802207098,0,0,1,1,17,5
767,2,-1,1.65175948,3.30351896,1,0,0.8333333333,1,64,6
772,2,-1,0.6577255922,1.315451184,0,0,1,1,5,3
773,2,-1,0.6968713607,1.393742721,0,0,1,1,13,3
774,2,-1,2.504226052,5.008452104,1,0,0.5714285714,1,49,14
776,2,-1,0.2164391953,0.4328783906,0,0,0.6666666667,1,16,7
777,2,-1,1.168652877,2.337305754,1,0,0.6428571429,1,36,23
779,2,-1,1.173471181,2.346942362,1,0,0.8,1,28,5
781,2,-1,0.4759604356,0.9519208712,0,0,0.4,1,15,5
782,2,-1,0.1158637625,0.231727525,0,0,1,1,7,1
