feature,importance,importance_std,fold,classifier,cluster_id
session_london,-6.817794443494395e-05,6.377462735253268e-05,3,lgbm,0
session_ny,-0.00011931140276115748,8.691016726762557e-05,3,lgbm,0
session_tokyo,0.0,0.0,3,lgbm,0
spread_percentile_100,-0.00013635588886991014,0.00013847005973469494,3,lgbm,0
spread_vs_trailing_100,-0.00013635588886991014,0.00015806406162425236,3,lgbm,0
swing_high_distance_14,-0.0005624680415885041,8.691016726762557e-05,3,lgbm,0
swing_low_distance_14,-0.0005795125276972568,0.000136355888869924,3,lgbm,0
w1_close_slope_sign,-0.0005454235554797516,0.00021288556326568134,3,lgbm,0
atr_14,0.003511164138401246,0.0004892687947641707,4,lgbm,0
atr_percentile_100,-0.00015340037497864057,9.938557857241566e-05,4,lgbm,0
atr_vs_trailing_100,0.00066473495824102,0.0002115165100731465,4,lgbm,0
d1_atr_percentile_100,0.0009204022498721986,0.00025509850941016486,4,lgbm,0
d1_close_slope_magnitude,0.014487813192432286,0.0016133846349002004,4,lgbm,0
d1_close_slope_sign,-8.52224305436522e-05,0.0,4,lgbm,0
day_of_week,0.0002045338333049651,0.0001580640616242667,4,lgbm,0
distance_to_round_number,2.2204460492503132e-17,5.389939765072365e-05,4,lgbm,0
hour_of_day,-1.704448610873044e-05,8.350058778875912e-05,4,lgbm,0
kijun_26_distance,8.522243054378542e-05,0.00018671299045686443,4,lgbm,0
prior_session_high_distance,-0.00047724561104478536,4.175029389434557e-05,4,lgbm,0
prior_session_low_distance,0.0024373615135503844,0.0003077462090551711,4,lgbm,0
range_close_ratio,-6.817794443492176e-05,0.0001252508816831576,4,lgbm,0
session_dead,0.0,0.0,4,lgbm,0
session_ldn_ny_overlap,0.0,0.0,4,lgbm,0
session_london,0.0,0.0,4,lgbm,0
session_ny,-3.408897221746088e-05,4.175029389434557e-05,4,lgbm,0
session_tokyo,0.0,0.0,4,lgbm,0
spread_percentile_100,-0.0001704448610873932,5.389939765072365e-05,4,lgbm,0
spread_vs_trailing_100,-0.0004431566388272801,0.00017382033453530122,4,lgbm,0
swing_high_distance_14,-0.00013635588886991014,8.691016726762555e-05,4,lgbm,0
swing_low_distance_14,-0.0004602011249360327,0.00011560132918230935,4,lgbm,0
w1_close_slope_sign,0.0002386228055224482,0.0001130603303342342,4,lgbm,0
atr_14,0.003391852735640066,0.0001973041912866849,5,lgbm,0
atr_percentile_100,-0.00022157831941362893,0.0001384700597347387,5,lgbm,0
atr_vs_trailing_100,1.7044486108752645e-05,8.350058778873194e-05,5,lgbm,0
d1_atr_percentile_100,-8.52224305436966e-05,0.00025849243034096656,5,lgbm,0
d1_close_slope_magnitude,0.0022328276802454417,0.0007630144634600165,5,lgbm,0
d1_close_slope_sign,0.00010226691665244924,8.350058778874554e-05,5,lgbm,0
day_of_week,0.00015340037497872937,0.0002872387855181998,5,lgbm,0
distance_to_round_number,0.0001193114027612241,4.175029389434557e-05,5,lgbm,0
hour_of_day,5.113345832625793e-05,0.0001156013291822897,5,lgbm,0
kijun_26_distance,0.00035793420828365006,6.377462735253268e-05,5,lgbm,0
prior_session_high_distance,3.408897221750529e-05,4.175029389439997e-05,5,lgbm,0
prior_session_low_distance,0.0007158684165673001,0.000363970623897436,5,lgbm,0
range_close_ratio,-0.00015340037497868497,0.00016525242397874736,5,lgbm,0
session_dead,0.0,0.0,5,lgbm,0
session_ldn_ny_overlap,0.0,0.0,5,lgbm,0
session_london,3.408897221750529e-05,4.175029389439997e-05,5,lgbm,0
session_ny,0.0,0.0,5,lgbm,0
session_tokyo,0.0,0.0,5,lgbm,0
spread_percentile_100,6.817794443498837e-05,9.938557857245374e-05,5,lgbm,0
spread_vs_trailing_100,-6.817794443494395e-05,0.00023120265836459904,5,lgbm,0
swing_high_distance_14,8.52224305437188e-05,7.622525916139392e-05,5,lgbm,0
swing_low_distance_14,0.0003749786943924027,0.00013847005973474687,5,lgbm,0
w1_close_slope_sign,5.113345832625793e-05,8.691016726762557e-05,5,lgbm,0
atr_14,0.0,0.0,1,lr,0
atr_percentile_100,0.0,0.0,1,lr,0
atr_vs_trailing_100,0.0,0.0,1,lr,0
d1_atr_percentile_100,0.0,0.0,1,lr,0
d1_close_slope_magnitude,0.0,0.0,1,lr,0
d1_close_slope_sign,0.0,0.0,1,lr,0
day_of_week,0.0,0.0,1,lr,0
distance_to_round_number,0.0,0.0,1,lr,0
hour_of_day,0.0,0.0,1,lr,0
kijun_26_distance,0.0,0.0,1,lr,0
prior_session_high_distance,3.408897221750529e-05,4.175029389439997e-05,1,lr,0
prior_session_low_distance,0.0,0.0,1,lr,0
range_close_ratio,0.0,0.0,1,lr,0
session_dead,0.0,0.0,1,lr,0
session_ldn_ny_overlap,0.0,0.0,1,lr,0
session_london,0.0,0.0,1,lr,0
session_ny,0.0,0.0,1,lr,0
session_tokyo,0.0,0.0,1,lr,0
spread_percentile_100,0.0,0.0,1,lr,0
spread_vs_trailing_100,0.0,0.0,1,lr,0
swing_high_distance_14,0.0,0.0,1,lr,0
swing_low_distance_14,0.0,0.0,1,lr,0
