feature,importance,importance_std,fold,classifier,cluster_id
d1_close_slope_sign,-4.924167815634206e-05,0.0,4,lr,0
day_of_week,-9.848335631224003e-06,0.0001261202331580041,4,lr,0
distance_to_round_number,-5.9090013787610476e-05,3.684909776216446e-05,4,lr,0
hour_of_day,1.9696671262581235e-05,2.4123397112332458e-05,4,lr,0
kijun_26_distance,9.848335631290617e-06,1.9696671262581235e-05,4,lr,0
prior_session_high_distance,-3.9393342525073646e-05,1.9696671262536823e-05,4,lr,0
prior_session_low_distance,9.848335631290617e-06,1.9696671262581235e-05,4,lr,0
range_close_ratio,9.848335631283956e-05,0.00012457268702655063,4,lr,0
session_dead,0.0,0.0,4,lr,0
session_ldn_ny_overlap,0.0,0.0,4,lr,0
session_london,-9.848335631246207e-06,3.684909776220007e-05,4,lr,0
session_ny,-9.848335631268412e-06,1.9696671262536823e-05,4,lr,0
session_tokyo,0.0,0.0,4,lr,0
spread_percentile_100,0.0,0.0,4,lr,0
spread_vs_trailing_100,0.0,0.0,4,lr,0
swing_high_distance_14,0.0008174118573961886,3.93933425251125e-05,4,lr,0
swing_low_distance_14,7.878668505025832e-05,2.412339711227807e-05,4,lr,0
w1_close_slope_sign,0.00029545006893840766,9.848335631276183e-05,4,lr,0
atr_14,0.00044317510340758927,0.00014935740484639276,5,lr,0
atr_percentile_100,3.9393342525140264e-05,5.7425171310266537e-05,5,lr,0
atr_vs_trailing_100,-1.969667126251462e-05,6.679466203587195e-05,5,lr,0
d1_atr_percentile_100,4.924167815640867e-05,6.228634351328849e-05,5,lr,0
d1_close_slope_magnitude,0.0003742367539886438,2.412339711227807e-05,5,lr,0
d1_close_slope_sign,9.848335631312822e-06,3.684909776221194e-05,5,lr,0
day_of_week,0.00045302343903885767,0.00010043371112061073,5,lr,0
distance_to_round_number,-6.893834941887889e-05,3.939334252507365e-05,5,lr,0
hour_of_day,-1.9696671262536823e-05,2.412339711227807e-05,5,lr,0
kijun_26_distance,-4.924167815634206e-05,0.0,5,lr,0
prior_session_high_distance,-0.0001477250344691372,0.0,5,lr,0
prior_session_low_distance,0.0,0.0,5,lr,0
range_close_ratio,-0.00013787669883782438,5.742517131030462e-05,5,lr,0
session_dead,0.0,0.0,5,lr,0
session_ldn_ny_overlap,0.0,0.0,5,lr,0
session_london,-9.848335631224003e-06,4.824679422461053e-05,5,lr,0
session_ny,3.9393342525140264e-05,5.742517131030462e-05,5,lr,0
session_tokyo,0.0,0.0,5,lr,0
spread_percentile_100,0.0,0.0,5,lr,0
spread_vs_trailing_100,0.0,0.0,5,lr,0
swing_high_distance_14,0.0010340752412842714,0.00012061698556153539,5,lr,0
swing_low_distance_14,0.0002856017333071392,5.742517131029701e-05,5,lr,0
w1_close_slope_sign,2.9545006893849646e-05,3.939334252512361e-05,5,lr,0
atr_14,0.0,0.0,1,rf,0
atr_percentile_100,0.0,0.0,1,rf,0
atr_vs_trailing_100,0.0,0.0,1,rf,0
d1_atr_percentile_100,0.0,0.0,1,rf,0
d1_close_slope_magnitude,0.0,0.0,1,rf,0
d1_close_slope_sign,0.0,0.0,1,rf,0
day_of_week,0.0,0.0,1,rf,0
distance_to_round_number,0.0,0.0,1,rf,0
