pair,signal_ts,signal_date,lookup_date,d1_date_used,days_lag,leak_flag,no_d1_available,is_monday,is_early_hours_utc
EUR_AUD,2025-02-17 20:00:00,2025-02-17,2025-02-16,2025-02-14,3,0,0,1,0
EUR_AUD,2023-06-22 16:00:00,2023-06-22,2023-06-21,2023-06-21,1,0,0,0,0
EUR_AUD,2024-11-18 08:00:00,2024-11-18,2024-11-17,2024-11-15,3,0,0,1,0
EUR_AUD,2021-06-10 00:00:00,2021-06-10,2021-06-09,2021-06-09,1,0,0,0,1
EUR_AUD,2023-02-14 00:00:00,2023-02-14,2023-02-13,2023-02-13,1,0,0,0,1
EUR_AUD,2024-10-11 08:00:00,2024-10-11,2024-10-10,2024-10-10,1,0,0,0,0
EUR_AUD,2022-08-30 00:00:00,2022-08-30,2022-08-29,2022-08-29,1,0,0,0,1
EUR_AUD,2025-05-28 12:00:00,2025-05-28,2025-05-27,2025-05-27,1,0,0,0,0
EUR_AUD,2024-05-01 00:00:00,2024-05-01,2024-04-30,2024-04-30,1,0,0,0,1
EUR_AUD,2021-03-15 00:00:00,2021-03-15,2021-03-14,2021-03-12,3,0,0,1,1
EUR_AUD,2021-07-08 00:00:00,2021-07-08,2021-07-07,2021-07-07,1,0,0,0,1
EUR_AUD,2021-05-24 00:00:00,2021-05-24,2021-05-23,2021-05-21,3,0,0,1,1
EUR_AUD,2023-05-24 04:00:00,2023-05-24,2023-05-23,2023-05-23,1,0,0,0,0
EUR_CAD,2023-09-08 00:00:00,2023-09-08,2023-09-07,2023-09-07,1,0,0,0,1
EUR_CAD,2025-12-15 08:00:00,2025-12-15,2025-12-14,2025-12-12,3,0,0,1,0
EUR_CAD,2022-11-07 16:00:00,2022-11-07,2022-11-06,2022-11-04,3,0,0,1,0
EUR_CAD,2025-10-14 16:00:00,2025-10-14,2025-10-13,2025-10-13,1,0,0,0,0
EUR_CAD,2021-11-01 08:00:00,2021-11-01,2021-10-31,2021-10-29,3,0,0,1,0
EUR_CAD,2021-01-28 04:00:00,2021-01-28,2021-01-27,2021-01-27,1,0,0,0,0
EUR_CAD,2023-10-04 08:00:00,2023-10-04,2023-10-03,2023-10-03,1,0,0,0,0
EUR_CAD,2022-03-31 00:00:00,2022-03-31,2022-03-30,2022-03-30,1,0,0,0,1
EUR_CAD,2023-09-20 16:00:00,2023-09-20,2023-09-19,2023-09-19,1,0,0,0,0
EUR_CAD,2024-04-17 16:00:00,2024-04-17,2024-04-16,2024-04-16,1,0,0,0,0
EUR_CAD,2021-06-03 08:00:00,2021-06-03,2021-06-02,2021-06-02,1,0,0,0,0
EUR_CAD,2022-03-14 16:00:00,2022-03-14,2022-03-13,2022-03-11,3,0,0,1,0
EUR_CAD,2023-12-29 00:00:00,2023-12-29,2023-12-28,2023-12-28,1,0,0,0,1
EUR_CAD,2020-11-05 08:00:00,2020-11-05,2020-11-04,2020-11-04,1,0,0,0,0
EUR_CAD,2021-03-11 08:00:00,2021-03-11,2021-03-10,2021-03-10,1,0,0,0,0
EUR_CAD,2024-11-25 08:00:00,2024-11-25,2024-11-24,2024-11-22,3,0,0,1,0
EUR_CAD,2022-05-20 16:00:00,2022-05-20,2022-05-19,2022-05-19,1,0,0,0,0
EUR_CAD,2025-09-30 08:00:00,2025-09-30,2025-09-29,2025-09-29,1,0,0,0,0
EUR_CAD,2023-12-05 00:00:00,2023-12-05,2023-12-04,2023-12-04,1,0,0,0,1
EUR_CAD,2024-02-16 08:00:00,2024-02-16,2024-02-15,2024-02-15,1,0,0,0,0
EUR_CHF,2022-04-14 08:00:00,2022-04-14,2022-04-13,2022-04-13,1,0,0,0,0
EUR_CHF,2024-04-22 00:00:00,2024-04-22,2024-04-21,2024-04-19,3,0,0,1,1
EUR_CHF,2022-08-09 08:00:00,2022-08-09,2022-08-08,2022-08-08,1,0,0,0,0
EUR_CHF,2021-06-14 16:00:00,2021-06-14,2021-06-13,2021-06-11,3,0,0,1,0
EUR_CHF,2024-06-21 00:00:00,2024-06-21,2024-06-20,2024-06-20,1,0,0,0,1
EUR_CHF,2021-05-13 00:00:00,2021-05-13,2021-05-12,2021-05-12,1,0,0,0,1
EUR_CHF,2021-11-23 08:00:00,2021-11-23,2021-11-22,2021-11-22,1,0,0,0,0
EUR_CHF,2021-05-27 08:00:00,2021-05-27,2021-05-26,2021-05-26,1,0,0,0,0
EUR_CHF,2024-10-08 20:00:00,2024-10-08,2024-10-07,2024-10-07,1,0,0,0,0
EUR_CHF,2022-01-06 08:00:00,2022-01-06,2022-01-05,2022-01-05,1,0,0,0,0
EUR_CHF,2021-04-21 08:00:00,2021-04-21,2021-04-20,2021-04-20,1,0,0,0,0
EUR_CHF,2023-10-25 16:00:00,2023-10-25,2023-10-24,2023-10-24,1,0,0,0,0
EUR_CHF,2021-05-05 08:00:00,2021-05-05,2021-05-04,2021-05-04,1,0,0,0,0
EUR_CHF,2023-08-24 08:00:00,2023-08-24,2023-08-23,2023-08-23,1,0,0,0,0
EUR_CHF,2021-08-26 16:00:00,2021-08-26,2021-08-25,2021-08-25,1,0,0,0,0
EUR_CHF,2021-01-22 00:00:00,2021-01-22,2021-01-21,2021-01-21,1,0,0,0,1
EUR_CHF,2024-03-18 08:00:00,2024-03-18,2024-03-17,2024-03-15,3,0,0,1,0
EUR_CHF,2023-04-26 08:00:00,2023-04-26,2023-04-25,2023-04-25,1,0,0,0,0
EUR_CHF,2022-09-26 08:00:00,2022-09-26,2022-09-25,2022-09-23,3,0,0,1,0
EUR_CHF,2024-12-12 16:00:00,2024-12-12,2024-12-11,2024-12-11,1,0,0,0,0
EUR_GBP,2022-09-27 16:00:00,2022-09-27,2022-09-26,2022-09-26,1,0,0,0,0
EUR_GBP,2025-12-18 00:00:00,2025-12-18,2025-12-17,2025-12-17,1,0,0,0,1
EUR_GBP,2021-11-02 04:00:00,2021-11-02,2021-11-01,2021-11-01,1,0,0,0,0
EUR_GBP,2022-12-02 04:00:00,2022-12-02,2022-12-01,2022-12-01,1,0,0,0,0
EUR_GBP,2024-05-23 08:00:00,2024-05-23,2024-05-22,2024-05-22,1,0,0,0,0
EUR_GBP,2023-06-27 00:00:00,2023-06-27,2023-06-26,2023-06-26,1,0,0,0,1
EUR_GBP,2024-11-25 00:00:00,2024-11-25,2024-11-24,2024-11-22,3,0,0,1,1
EUR_GBP,2024-02-15 08:00:00,2024-02-15,2024-02-14,2024-02-14,1,0,0,0,0
EUR_GBP,2020-11-25 00:00:00,2020-11-25,2020-11-24,2020-11-24,1,0,0,0,1
EUR_GBP,2024-10-07 08:00:00,2024-10-07,2024-10-06,2024-10-04,3,0,0,1,0
EUR_GBP,2023-12-08 08:00:00,2023-12-08,2023-12-07,2023-12-07,1,0,0,0,0
EUR_GBP,2024-12-26 08:00:00,2024-12-26,2024-12-25,2024-12-25,1,0,0,0,0
EUR_GBP,2020-10-14 04:00:00,2020-10-14,2020-10-13,2020-10-13,1,0,0,0,0
EUR_GBP,2021-04-21 04:00:00,2021-04-21,2021-04-20,2021-04-20,1,0,0,0,0
EUR_GBP,2021-02-04 04:00:00,2021-02-04,2021-02-03,2021-02-03,1,0,0,0,0
EUR_GBP,2025-01-02 08:00:00,2025-01-02,2025-01-01,2025-01-01,1,0,0,0,0
EUR_GBP,2024-11-15 08:00:00,2024-11-15,2024-11-14,2024-11-14,1,0,0,0,0
EUR_GBP,2020-10-28 08:00:00,2020-10-28,2020-10-27,2020-10-27,1,0,0,0,0
EUR_GBP,2021-07-30 00:00:00,2021-07-30,2021-07-29,2021-07-29,1,0,0,0,1
EUR_GBP,2021-02-25 08:00:00,2021-02-25,2021-02-24,2021-02-24,1,0,0,0,0
EUR_JPY,2021-10-12 08:00:00,2021-10-12,2021-10-11,2021-10-11,1,0,0,0,0
EUR_JPY,2025-04-30 08:00:00,2025-04-30,2025-04-29,2025-04-29,1,0,0,0,0
EUR_JPY,2025-03-04 08:00:00,2025-03-04,2025-03-03,2025-03-03,1,0,0,0,0
EUR_JPY,2021-09-29 00:00:00,2021-09-29,2021-09-28,2021-09-28,1,0,0,0,1
EUR_JPY,2021-04-12 16:00:00,2021-04-12,2021-04-11,2021-04-09,3,0,0,1,0
EUR_JPY,2022-08-03 12:00:00,2022-08-03,2022-08-02,2022-08-02,1,0,0,0,0
EUR_JPY,2022-12-14 20:00:00,2022-12-14,2022-12-13,2022-12-13,1,0,0,0,0
EUR_JPY,2021-07-09 00:00:00,2021-07-09,2021-07-08,2021-07-08,1,0,0,0,1
EUR_JPY,2021-10-06 00:00:00,2021-10-06,2021-10-05,2021-10-05,1,0,0,0,1
EUR_JPY,2024-07-22 16:00:00,2024-07-22,2024-07-21,2024-07-19,3,0,0,1,0
EUR_JPY,2024-07-16 00:00:00,2024-07-16,2024-07-15,2024-07-15,1,0,0,0,1
EUR_JPY,2021-02-03 20:00:00,2021-02-03,2021-02-02,2021-02-02,1,0,0,0,0
EUR_JPY,2022-10-11 00:00:00,2022-10-11,2022-10-10,2022-10-10,1,0,0,0,1
EUR_JPY,2024-05-16 08:00:00,2024-05-16,2024-05-15,2024-05-15,1,0,0,0,0
EUR_JPY,2022-05-06 00:00:00,2022-05-06,2022-05-05,2022-05-05,1,0,0,0,1
EUR_JPY,2022-02-02 00:00:00,2022-02-02,2022-02-01,2022-02-01,1,0,0,0,1
EUR_JPY,2022-10-04 04:00:00,2022-10-04,2022-10-03,2022-10-03,1,0,0,0,0
EUR_JPY,2020-10-09 08:00:00,2020-10-09,2020-10-08,2020-10-08,1,0,0,0,0
EUR_JPY,2023-03-20 00:00:00,2023-03-20,2023-03-19,2023-03-17,3,0,0,1,1
EUR_JPY,2021-07-21 08:00:00,2021-07-21,2021-07-20,2021-07-20,1,0,0,0,0
EUR_NZD,2024-05-24 00:00:00,2024-05-24,2024-05-23,2024-05-23,1,0,0,0,1
EUR_NZD,2020-11-17 08:00:00,2020-11-17,2020-11-16,2020-11-16,1,0,0,0,0
EUR_NZD,2023-07-20 12:00:00,2023-07-20,2023-07-19,2023-07-19,1,0,0,0,0
EUR_NZD,2022-11-10 00:00:00,2022-11-10,2022-11-09,2022-11-09,1,0,0,0,1
