trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,mfe_lock_active_at_exit,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit,fold
1369,GBP_JPY,2023-12-15 00:00:00,2023-12-15 04:00:00,2023-12-15 16:00:00,stoploss,4,0,-1.006912488,0.03341035764,-1.012679461,2.4,2.4,5
1371,USD_JPY,2023-12-15 00:00:00,2023-12-15 04:00:00,2023-12-20 08:00:00,trail_stop,20,1,0.6225359186,1.63810683,-0.5821163341,0.6,0.6,5
1375,CHF_JPY,2023-12-18 08:00:00,2023-12-18 12:00:00,2023-12-19 08:00:00,trail_stop,6,1,0.4033131124,2.107332568,-0.09209237579,2.2,2.2,5
1386,NZD_JPY,2023-12-26 16:00:00,2023-12-26 20:00:00,2023-12-28 08:00:00,stoploss,10,0,-1.011405088,0.6435728164,-1.608117392,1.4,1.4,5
1404,AUD_CAD,2024-01-09 00:00:00,2024-01-09 04:00:00,2024-01-11 16:00:00,stoploss,16,0,-1.017196635,0.07331196828,-1.023652298,1.9,1.9,5
1415,NZD_USD,2024-01-25 08:00:00,2024-01-25 12:00:00,2024-01-31 20:00:00,trail_stop,27,1,-0.0118098372,1.053222754,-0.8320567118,1.1,1.1,5
1457,USD_CHF,2024-03-11 16:00:00,2024-03-11 20:00:00,2024-03-20 20:00:00,trail_stop,43,1,2.167248275,3.192884466,-0.876594068,0.9,0.9,5
1468,CHF_JPY,2024-03-19 04:00:00,2024-03-19 08:00:00,2024-03-20 20:00:00,trail_stop,10,1,1.042004355,2.1414966,-0.04225886624,2.2,2.2,5
1481,CHF_JPY,2024-04-04 16:00:00,2024-04-04 20:00:00,2024-04-08 08:00:00,trail_stop,10,1,-0.01504603323,1.138027241,-0.7810259066,2.2,2.2,5
1483,EUR_AUD,2024-04-08 00:00:00,2024-04-08 04:00:00,2024-04-08 12:00:00,stoploss,3,0,-1.017235397,0.01436283107,-1.064285782,2.4,2.4,5
1495,NZD_CHF,2024-04-22 00:00:00,2024-04-22 04:00:00,2024-04-30 08:00:00,trail_stop,38,1,0.7291252312,1.70640545,-0.1815836666,1.7,1.7,5
1537,USD_CHF,2024-06-05 16:00:00,2024-06-05 20:00:00,2024-06-06 20:00:00,stoploss,7,0,-1.009644133,0.09965604221,-1.019063399,0.9,0.9,5
1564,AUD_CAD,2024-06-24 08:00:00,2024-06-24 12:00:00,2024-06-25 12:00:00,stoploss,7,0,-1.025947283,0.2799575246,-1.170359018,1.9,1.9,5
1585,EUR_JPY,2024-07-16 00:00:00,2024-07-16 04:00:00,2024-07-17 08:00:00,stoploss,8,0,-1.005840479,0.3637783848,-1.455113539,1.4,1.4,6
1587,NZD_CAD,2024-07-17 00:00:00,2024-07-17 04:00:00,2024-07-19 04:00:00,stoploss,13,0,-1.024146374,0.3768933958,-1.214667574,2.3,2.3,6
1595,EUR_JPY,2024-07-22 16:00:00,2024-07-22 20:00:00,2024-07-23 08:00:00,stoploss,4,0,-1.005984627,0.1231123329,-1.293534442,1.4,1.4,6
1607,AUD_CHF,2024-07-31 16:00:00,2024-07-31 20:00:00,2024-08-01 08:00:00,stoploss,4,0,-1.016232501,0.2597200101,-1.075982899,1.4,1.4,6
1608,NZD_CAD,2024-07-31 16:00:00,2024-07-31 20:00:00,2024-08-05 04:00:00,trail_stop,15,1,0.7447927826,1.904539036,-0.3040052846,2.3,2.3,6
1609,NZD_CHF,2024-07-31 16:00:00,2024-07-31 20:00:00,2024-08-01 20:00:00,stoploss,7,0,-1.024165126,0.2373868265,-1.417213569,1.7,1.7,6
1610,AUD_CAD,2024-08-01 12:00:00,2024-08-01 16:00:00,2024-08-05 08:00:00,stoploss,11,0,-1.018797295,0.3630845873,-3.730768334,1.9,1.9,6
1611,AUD_CHF,2024-08-06 00:00:00,2024-08-06 04:00:00,2024-08-22 04:00:00,trail_stop,73,1,1.381109528,2.236881509,-0.6865385016,1.4,1.4,6
1612,AUD_JPY,2024-08-06 00:00:00,2024-08-06 04:00:00,2024-09-03 16:00:00,trail_stop,124,1,1.229771981,2.003823428,-0.5583513549,0.9,0.9,6
1614,CAD_CHF,2024-08-06 00:00:00,2024-08-06 04:00:00,2024-08-08 12:00:00,trail_stop,15,1,0.4104640798,1.522461524,-0.5510909218,1.5,1.5,6
1615,CAD_JPY,2024-08-06 00:00:00,2024-08-06 04:00:00,2024-08-19 04:00:00,trail_stop,55,1,0.7859599247,1.575972326,-0.4134614811,1.2,1.2,6
