cell,spread_mult,slip_per_fill_pips,risk_level,fold,fold_id,trades,roi,dd,ratio
2,1.0,0.5,r_recommended,F6,6,190,0.3161333765520269,0.05259457835565081,6.010759786194982
2,1.0,0.5,r_recommended,F7,7,170,0.4662066631003372,0.0337870378724382,13.79838815289119
2,1.0,0.5,r_recommended,F8,8,191,0.7313802325121093,0.025745171325297675,28.40844301523221
2,1.0,0.5,r_recommended,F9,9,175,0.21094435098372855,0.03246327928779089,6.497937226664053
2,1.0,0.5,r_recommended,F10,10,196,0.5151029707315937,0.0451582967578883,11.406607594021246
2,1.0,0.5,r_recommended,F11,11,188,0.5713958040619009,0.02679084838922958,21.328022008127697
3,1.0,1.0,r_base,Holdout,0,1093,0.47718804006521065,0.059121491816485225,8.071312570163414
3,1.0,1.0,r_base,F1,1,201,0.37113943689635165,0.03372001047054605,11.006504200837561
3,1.0,1.0,r_base,F2,2,182,0.421356142266919,0.030000077491468657,14.045168462872908
3,1.0,1.0,r_base,F3,3,179,0.45807209740140964,0.023197682954225685,19.74645908840509
3,1.0,1.0,r_base,F4,4,195,0.6803487698810695,0.07591745257040039,8.961691242868865
3,1.0,1.0,r_base,F5,5,192,0.46689429765168655,0.02599264224229646,17.96255622261957
3,1.0,1.0,r_base,F6,6,190,0.29585574349723576,0.051962840929771,5.693602162689522
3,1.0,1.0,r_base,F7,7,170,0.4398762921196504,0.03326611604601361,13.222953094710986
3,1.0,1.0,r_base,F8,8,191,0.6875448330215137,0.025452765935618904,27.012578309194886
3,1.0,1.0,r_base,F9,9,175,0.1917326440909013,0.03244579650436057,5.909321537695438
3,1.0,1.0,r_base,F10,10,196,0.47606981078709265,0.048750886546595984,9.765356991653192
3,1.0,1.0,r_base,F11,11,188,0.5320045693309383,0.026576116037137804,20.018145939290314
3,1.0,1.0,r_recommended,Holdout,0,1093,0.4919698616752921,0.06060388287158162,8.117794411255234
3,1.0,1.0,r_recommended,F1,1,201,0.382212532291645,0.03457655687665237,11.054094647282012
3,1.0,1.0,r_recommended,F2,2,182,0.4341741825557499,0.030761884740813237,14.11403060033284
3,1.0,1.0,r_recommended,F3,3,179,0.47217931054249784,0.023792035349060905,19.8461083137696
3,1.0,1.0,r_recommended,F4,4,195,0.7027625867670462,0.07780004322787087,9.032933114300512
3,1.0,1.0,r_recommended,F5,5,192,0.4813228659854947,0.026654608298614584,18.05777299719359
3,1.0,1.0,r_recommended,F6,6,190,0.30442875799187075,0.053269288789928385,5.714901867610987
3,1.0,1.0,r_recommended,F7,7,170,0.45336130116836504,0.03410958082314503,13.29131845738594
3,1.0,1.0,r_recommended,F8,8,191,0.7102662633210017,0.026101341211310088,27.211868446562168
3,1.0,1.0,r_recommended,F9,9,175,0.19705320841517282,0.033271509844484744,5.922580890865023
3,1.0,1.0,r_recommended,F10,10,196,0.490828089270954,0.04999174117214329,9.818183519170088
3,1.0,1.0,r_recommended,F11,11,188,0.5488021267502003,0.027253957516455648,20.13660314905971
4,1.5,0.0,r_base,Holdout,0,1093,0.4833323189567271,0.059994770532575174,8.056240813427126
4,1.5,0.0,r_base,F1,1,201,0.34178713688829077,0.03505029462833731,9.75133420453374
4,1.5,0.0,r_base,F2,2,182,0.38811161749039313,0.030338753669534355,12.792602547814218
4,1.5,0.0,r_base,F3,3,179,0.44889680821008815,0.023986828710000574,18.71430415571919
4,1.5,0.0,r_base,F4,4,195,0.6612882001352969,0.07702539199606717,8.58532729270708
4,1.5,0.0,r_base,F5,5,192,0.45165946408803825,0.026338739983107515,17.14810444150754
4,1.5,0.0,r_base,F6,6,190,0.30379910535108623,0.052273160646924714,5.811760788735835
4,1.5,0.0,r_base,F7,7,170,0.44521935093705056,0.03304533283488976,13.472987340196534
4,1.5,0.0,r_base,F8,8,191,0.6983796307667114,0.025079461619793613,27.846675552856567
4,1.5,0.0,r_base,F9,9,175,0.1980766819434825,0.03313213119056775,5.978386382819591
4,1.5,0.0,r_base,F10,10,196,0.4914720793003111,0.045541524595729334,10.791735315475123
4,1.5,0.0,r_base,F11,11,188,0.5465898315470259,0.026497466685456904,20.62800334973233
4,1.5,0.0,r_recommended,Holdout,0,1093,0.49833439250879197,0.0614982970302922,8.103222634983332
4,1.5,0.0,r_recommended,F1,1,201,0.3518712714212229,0.0359399502560165,9.790533067371681
4,1.5,0.0,r_recommended,F2,2,182,0.39977861103296175,0.03110904579195652,12.850879892186457
4,1.5,0.0,r_recommended,F3,3,179,0.4626758794757595,0.02460093757942234,18.80724578004574
4,1.5,0.0,r_recommended,F4,4,195,0.6829541484836494,0.07893432422327391,8.652182117273126
4,1.5,0.0,r_recommended,F5,5,192,0.4655449086536436,0.02700952262107317,17.236324950460975
4,1.5,0.0,r_recommended,F6,6,190,0.3126303792383216,0.05358717561901428,5.834052189296413
4,1.5,0.0,r_recommended,F7,7,170,0.4588923810857817,0.03388330020568799,13.543320110499371
4,1.5,0.0,r_recommended,F8,8,191,0.7215293478185854,0.025718645667704054,28.054717854938957
4,1.5,0.0,r_recommended,F9,9,175,0.20358910729424795,0.03397494245830298,5.99233118773079
