trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,swing_low_used,sweep_magnitude_atr,reclaim_strength_ratio,time_to_peak_mfe,calendar_year
87,EUR_CAD,2021-03-02 12:00:00,2021-03-02 16:00:00,1.52245,1.514957514,2021-03-04 16:00:00,1.514947514,stoploss,-1.00133467,13,0.7927942328,-6.664009435,0.2,0.2,1.52134,0.3390062881,0.8897637795,1,2021
88,NZD_CAD,2021-03-02 20:00:00,2021-03-03 00:00:00,0.92058,0.9130607661,2021-03-04 16:00:00,0.9129807661,stoploss,-1.010639382,11,0.2087978662,-6.273245446,1.4,1.6,0.9151,1.058618481,1.349246231,0,2021
89,CHF_JPY,2021-03-04 12:00:00,2021-03-04 16:00:00,116.325,115.6888358,2021-04-29 16:00:00,119.852,time_exit,5.544166132,240,5.957581412,-0.6554911474,1,1,116.15,0.4652886802,1.148648649,240,2021
90,USD_CAD,2021-03-04 16:00:00,2021-03-04 20:00:00,1.264535,1.256364499,2021-03-11 16:00:00,1.256354499,stoploss,-1.001223915,30,1.124166044,-4.527874011,0.3,0.2,1.2593,0.4406094456,2.883333333,4,2021
91,AUD_NZD,2021-03-09 00:00:00,2021-03-09 04:00:00,1.073115,1.068062575,2021-05-04 04:00:00,1.07769,time_exit,0.9055058377,240,4.254393002,-0.7689377442,1.5,3.4,1.07083,0.2652191962,3.298507463,85,2021
92,EUR_NZD,2021-03-09 00:00:00,2021-03-09 04:00:00,1.6658,1.653032105,2021-03-11 08:00:00,1.653002105,stoploss,-1.002349643,14,2.597139186,-1.351044962,1,0.6,1.65658,0.3289500778,4.404761905,1,2021
93,EUR_GBP,2021-03-09 08:00:00,2021-03-09 12:00:00,0.85673,0.8526392864,2021-03-29 08:00:00,0.8526292864,stoploss,-1.002444561,84,3.715733092,-2.33700055,0.2,0.2,0.85621,0.2884582269,0.8813559322,65,2021
94,EUR_AUD,2021-03-10 16:00:00,2021-03-10 20:00:00,1.54228,1.531959458,2021-03-18 00:00:00,1.531914458,stoploss,-1.004360236,32,2.434949678,-1.482480306,0.8,0.9,1.5404,0.2751793508,1.302816901,21,2021
95,NZD_CAD,2021-03-12 20:00:00,2021-03-15 00:00:00,0.89541,0.8898737641,2021-03-23 04:00:00,0.8898237641,stoploss,-1.009031407,38,2.286752286,-3.973819138,1.6,1,0.89491,0.343193471,0.8,17,2021
96,AUD_CAD,2021-03-15 12:00:00,2021-03-15 16:00:00,0.96521,0.9601905728,2021-03-23 16:00:00,0.9601805728,stoploss,-1.001992259,37,2.129725074,-4.127961041,0.2,0.2,0.96447,0.3068079152,0.9480519481,18,2021
