trade_id,local_peaks_count,monotonicity_ratio_in_profit
1456,10,0.5172413793103449
1457,16,0.4666666666666667
1458,14,0.5333333333333333
1459,20,0.5583333333333333
146,13,0.5764705882352941
1460,1,0.4
1461,1,0.5714285714285714
1462,1,0.16666666666666666
1463,0,
1464,2,
1465,8,0.575
1466,8,0.5
1467,5,0.5714285714285714
1468,4,0.34375
1469,12,0.4396551724137931
147,9,0.5652173913043478
1470,2,0.3333333333333333
1471,0,
1472,0,
1473,0,1.0
1474,0,
1475,28,0.5855855855855856
1476,0,
1477,30,0.5583333333333333
1478,16,0.5294117647058824
1479,0,0.5
148,3,0.5
1480,1,1.0
1481,2,0.5
1482,4,0.6
1483,21,0.5405405405405406
1484,23,0.575
1485,27,0.5833333333333334
1486,0,0.0
1487,0,
1488,1,0.5
1489,8,0.5471698113207547
149,1,0.25
1490,4,0.6666666666666666
1491,0,
1492,4,0.5555555555555556
1493,3,0.5
1494,8,0.5294117647058824
1495,2,0.5
1496,1,0.3333333333333333
1497,2,0.42857142857142855
1498,18,0.4666666666666667
1499,14,0.5555555555555556
15,0,
150,9,0.5494505494505495
1500,0,
1501,9,0.49019607843137253
1502,6,0.5789473684210527
1503,21,0.5471698113207547
1504,3,0.4444444444444444
1505,2,1.0
1506,5,0.5
1507,6,0.625
1508,0,
1509,0,
151,0,
1510,1,1.0
1511,0,
1512,11,0.5445544554455446
1513,2,
1514,0,
1515,31,0.5882352941176471
1516,6,0.6
1517,24,0.49166666666666664
1518,7,0.4925373134328358
1519,6,0.75
152,0,0.0
1520,18,0.5416666666666666
1521,6,0.5072463768115942
1522,6,0.7272727272727273
1523,7,0.6666666666666666
1524,8,0.6129032258064516
1525,5,0.5
1526,3,0.46153846153846156
1527,0,
1528,0,0.0
1529,0,
153,1,0.4722222222222222
1530,7,0.4482758620689655
1531,0,0.3333333333333333
1532,2,
1533,0,
1534,7,0.46875
1535,12,0.5051546391752577
1536,0,0.0
1537,3,0.6666666666666666
1538,0,
1539,19,0.543859649122807
154,4,0.5217391304347826
1540,12,0.5462184873949579
1541,6,0.4791666666666667
1542,10,0.6470588235294118
1543,9,0.6363636363636364
1544,8,0.59375
1545,2,0.3333333333333333
1546,0,0.0
1547,14,0.5166666666666667
1548,0,0.0
1549,8,0.47692307692307695
155,20,0.5151515151515151
1550,0,0.0
1551,0,
1552,6,0.55
1553,0,
1554,22,0.5932203389830508
1555,19,0.4791666666666667
1556,3,0.3333333333333333
1557,1,0.2
1558,1,
1559,1,0.3333333333333333
156,21,0.5811965811965812
1560,2,0.5
1561,0,
1562,0,
1563,1,
1564,1,0.4
1565,2,0.5
1566,1,0.0
1567,5,0.5714285714285714
1568,0,0.3333333333333333
1569,2,1.0
157,25,0.5619047619047619
1570,1,0.0
1571,0,
1572,1,0.0
1573,0,
1574,3,0.6363636363636364
1575,8,0.5230769230769231
1576,2,0.0
1577,22,0.5083333333333333
1578,3,0.41379310344827586
1579,6,0.6470588235294118
158,18,0.5225225225225225
1580,4,0.47368421052631576
1581,3,0.5294117647058824
1582,1,
1583,0,
1584,1,0.3333333333333333
1585,12,0.5338983050847458
1586,16,0.5333333333333333
1587,9,0.4857142857142857
1588,0,
1589,0,
159,10,0.5529411764705883
1590,13,0.5274725274725275
1591,8,0.4880952380952381
1592,10,0.49523809523809526
1593,14,0.4864864864864865
1594,1,0.3333333333333333
1595,0,
1596,2,1.0
1597,8,0.6341463414634146
1598,5,0.42857142857142855
1599,0,0.0
16,0,
160,10,0.4690265486725664
1600,10,0.5675675675675675
1601,9,0.5909090909090909
1602,4,0.5833333333333334
1603,2,1.0
1604,0,
1605,2,0.5
1606,5,0.5833333333333334
1607,3,
1608,5,0.5192307692307693
1609,5,0.5333333333333333
161,9,0.47058823529411764
1610,0,0.3333333333333333
1611,5,0.5641025641025641
1612,13,0.46511627906976744
1613,16,0.5225225225225225
1614,2,1.0
1615,3,0.6
1616,20,0.575
1617,0,0.0
1618,16,0.5630252100840336
1619,18,0.5333333333333333
162,26,0.55
1620,26,0.5916666666666667
1621,10,0.5
1622,9,0.4369747899159664
