trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,swing_low_used,n_swing_lows,most_recent_sl_lag,atr14_at_signal,time_to_peak_mfe,calendar_year
67,AUD_CAD,2020-11-05 08:00:00,2020-11-05 12:00:00,0.946835,0.9387980669,2021-01-04 12:00:00,0.979985,time_exit,4.124707705,240,4.855707939,-0.4162035376,1.9,1.9,0.92987,2,13,0.004018466564,234,2020
68,EUR_CAD,2020-11-05 08:00:00,2020-11-05 12:00:00,1.548395,1.537672976,2020-11-09 12:00:00,1.537487976,stoploss,-1.017254206,13,2.81336819,-1.593449213,3.7,3.7,1.53615,1,10,0.005361011777,6,2020
69,EUR_CHF,2020-11-05 08:00:00,2020-11-05 12:00:00,1.07066,1.066607125,2021-01-04 12:00:00,1.08144,time_exit,2.659840108,240,4.574530205,-0.9228016702,1,1,1.06595,3,7,0.002026437598,215,2020
70,GBP_JPY,2020-11-05 08:00:00,2020-11-05 12:00:00,136.031,134.8945306,2021-01-04 12:00:00,140.467,time_exit,3.903316732,240,4.642447944,-0.499793486,2.4,2.4,134.4,3,18,0.5682346969,237,2020
71,GBP_NZD,2020-11-05 20:00:00,2020-11-06 00:00:00,1.94115,1.92585736,2020-11-09 12:00:00,1.92561736,stoploss,-1.015693824,10,0.4740842579,-5.824370325,4.8,4.8,1.93151,4,5,0.00764632012,0,2020
72,EUR_GBP,2020-11-06 08:00:00,2020-11-06 12:00:00,0.902,0.8956765758,2020-11-10 08:00:00,0.8956365758,stoploss,-1.006325687,12,3.316241221,-2.514460439,0.8,0.8,0.89442,3,14,0.003161712102,1,2020
73,EUR_USD,2020-11-06 08:00:00,2020-11-06 12:00:00,1.185345,1.176851441,2020-11-11 12:00:00,1.176816441,stoploss,-1.00412077,19,5.37407245,-1.270963131,0.7,0.7,1.16019,2,13,0.004246779367,7,2020
74,NZD_USD,2020-11-09 00:00:00,2020-11-09 04:00:00,0.680485,0.6738387008,2021-01-06 04:00:00,0.725105,time_exit,6.713510618,240,7.034742021,-0.1436889879,1.1,1.1,0.65889,2,17,0.003323149581,240,2020
75,AUD_JPY,2020-11-09 12:00:00,2020-11-09 16:00:00,76.8215,75.93566425,2020-11-12 20:00:00,75.93116425,stoploss,-1.005079949,20,4.15934896,-1.611472558,0.9,0.9,73.607,3,6,0.4429178744,10,2020
76,USD_CHF,2020-11-11 08:00:00,2020-11-11 12:00:00,0.917495,0.911404027,2020-11-16 00:00:00,0.911359027,stoploss,-1.007387982,16,0.2749971132,-6.850301223,0.9,0.9,0.8975,1,14,0.003045486515,1,2020
77,USD_JPY,2020-11-11 08:00:00,2020-11-11 12:00:00,105.441,104.73694,2020-11-13 12:00:00,104.73394,stoploss,-1.004261001,13,0.3337783834,-4.047950608,0.6,0.6,103.175,2,17,0.3520299871,1,2020
78,EUR_CAD,2020-11-12 04:00:00,2020-11-12 08:00:00,1.539895,1.531158558,2021-01-11 08:00:00,1.553955,time_exit,1.609350724,240,4.425714491,-0.06238237159,3.7,3.7,1.53131,3,9,0.00436822123,170,2020
79,USD_CAD,2020-11-12 04:00:00,2020-11-12 08:00:00,1.307815,1.300527254,2020-11-24 20:00:00,1.300462254,stoploss,-1.008919082,52,1.291894674,-6.146619429,1.3,1.3,1.29281,3,9,0.003643872906,8,2020
80,AUD_NZD,2020-11-13 00:00:00,2020-11-13 04:00:00,1.058615,1.053649926,2020-11-19 12:00:00,1.053544926,stoploss,-1.021147721,27,3.275882675,-3.410825275,2.1,2.1,1.0546,1,6,0.002482537016,1,2020
81,GBP_CAD,2020-11-13 00:00:00,2020-11-13 04:00:00,1.72573,1.713800489,2020-12-07 00:00:00,1.713540489,stoploss,-1.021794691,96,2.00930283,-4.094048819,2.8,5.2,1.70262,3,8,0.005964755448,39,2020
