pair,bar_time,swing_low_used,n_swing_lows,most_recent_sl_lag,ib_passed,break_passed,fired_signal
CAD_JPY,2020-11-23 16:00:00,79.201,3,4,1,1,0
EUR_NZD,2020-11-23 16:00:00,1.70549,4,4,1,1,1
USD_CAD,2020-11-23 16:00:00,1.3034,3,6,1,1,0
AUD_CHF,2020-11-24 00:00:00,0.66175,2,12,1,1,1
AUD_USD,2020-11-24 00:00:00,0.72544,2,15,1,1,0
CAD_CHF,2020-11-24 00:00:00,0.69337,2,16,1,1,0
NZD_CAD,2020-11-24 00:00:00,0.90013,2,14,1,1,1
NZD_CHF,2020-11-24 00:00:00,0.62549,3,6,1,1,0
NZD_USD,2020-11-24 00:00:00,0.68753,3,6,1,1,1
EUR_USD,2020-11-24 04:00:00,1.18163,3,7,1,1,0
GBP_USD,2020-11-24 08:00:00,1.31956,2,4,1,1,0
AUD_JPY,2020-11-24 16:00:00,75.394,2,16,1,1,1
AUD_NZD,2020-11-24 16:00:00,1.04713,2,4,1,1,1
AUD_JPY,2020-11-25 00:00:00,75.394,2,18,1,1,0
EUR_GBP,2020-11-25 00:00:00,0.88664,4,4,1,1,1
EUR_JPY,2020-11-25 00:00:00,122.846,2,12,1,1,0
USD_CHF,2020-11-25 08:00:00,0.90762,4,6,1,1,1
NZD_CAD,2020-11-25 12:00:00,0.90202,2,11,1,1,0
AUD_JPY,2020-11-25 16:00:00,75.394,1,22,1,1,0
AUD_USD,2020-11-25 16:00:00,0.72544,2,12,1,1,0
CHF_JPY,2020-11-25 16:00:00,113.706,4,7,1,1,0
AUD_NZD,2020-11-26 00:00:00,1.04713,2,12,1,1,0
EUR_CAD,2020-11-26 00:00:00,1.5446,3,6,1,1,1
EUR_NZD,2020-11-26 00:00:00,1.6947,3,11,1,1,0
EUR_USD,2020-11-26 00:00:00,1.18,4,8,1,1,1
GBP_USD,2020-11-26 00:00:00,1.31956,3,8,1,1,0
CAD_CHF,2020-11-26 08:00:00,0.69459,3,10,1,1,1
USD_CAD,2020-11-27 00:00:00,1.29862,4,8,1,1,1
NZD_CHF,2020-11-27 04:00:00,0.63029,4,11,1,1,1
CAD_CHF,2020-11-27 08:00:00,0.69459,3,8,1,1,0
EUR_GBP,2020-11-27 08:00:00,0.88664,3,10,1,1,0
EUR_JPY,2020-11-27 08:00:00,122.972,2,12,1,1,1
EUR_NZD,2020-11-30 04:00:00,1.6947,3,5,1,1,1
CAD_CHF,2020-11-30 08:00:00,0.69459,4,8,1,1,0
CAD_JPY,2020-11-30 08:00:00,79.841,2,7,1,1,1
CHF_JPY,2020-11-30 08:00:00,114.164,4,6,1,1,1
EUR_CHF,2020-11-30 08:00:00,1.07911,2,8,1,1,1
USD_JPY,2020-11-30 08:00:00,103.683,4,7,1,1,1
USD_JPY,2020-11-30 16:00:00,103.827,4,4,1,1,0
EUR_CHF,2020-12-01 00:00:00,1.07911,2,4,1,1,0
EUR_USD,2020-12-01 04:00:00,1.1841,3,16,1,1,0
GBP_USD,2020-12-01 04:00:00,1.32877,4,8,1,1,1
CHF_JPY,2020-12-01 12:00:00,114.164,4,13,1,1,0
NZD_JPY,2020-12-01 12:00:00,72.734,4,7,1,1,1
AUD_JPY,2020-12-01 16:00:00,76.453,3,4,1,1,1
AUD_CAD,2020-12-02 00:00:00,0.95248,2,7,1,1,1
AUD_JPY,2020-12-02 00:00:00,76.453,3,6,1,1,0
CHF_JPY,2020-12-02 00:00:00,114.218,4,6,1,1,0
EUR_GBP,2020-12-02 00:00:00,0.88898,2,4,1,1,1
AUD_CHF,2020-12-02 08:00:00,0.66197,4,4,1,1,1
AUD_JPY,2020-12-02 08:00:00,76.453,3,8,1,1,0
CAD_JPY,2020-12-02 08:00:00,79.841,3,14,1,1,0
NZD_CHF,2020-12-02 08:00:00,0.6336,3,12,1,1,0
NZD_USD,2020-12-02 20:00:00,0.69928,2,11,1,1,1
CHF_JPY,2020-12-03 00:00:00,114.56,3,12,1,1,0
EUR_NZD,2020-12-03 00:00:00,1.69645,3,4,1,1,0
AUD_NZD,2020-12-03 04:00:00,1.04168,2,9,1,1,1
EUR_CAD,2020-12-03 04:00:00,1.54653,4,5,1,1,1
EUR_USD,2020-12-03 04:00:00,1.18853,3,4,1,1,1
AUD_CAD,2020-12-03 08:00:00,0.95155,3,4,1,1,0
AUD_USD,2020-12-03 08:00:00,0.73377,4,5,1,1,1
GBP_CHF,2020-12-03 08:00:00,1.19117,4,4,1,1,1
USD_CAD,2020-12-03 08:00:00,1.29231,2,16,1,1,1
AUD_NZD,2020-12-03 16:00:00,1.04168,2,12,1,1,0
AUD_USD,2020-12-03 16:00:00,0.73377,4,7,1,1,0
EUR_GBP,2020-12-04 04:00:00,0.89284,1,17,1,1,0
CAD_CHF,2020-12-04 08:00:00,0.68942,2,4,1,1,1
EUR_CAD,2020-12-04 08:00:00,1.5474,3,12,1,1,0
EUR_CHF,2020-12-04 08:00:00,1.08032,3,10,1,1,1
GBP_CAD,2020-12-04 08:00:00,1.71992,4,10,1,1,1
GBP_CHF,2020-12-04 08:00:00,1.19117,3,10,1,1,0
GBP_USD,2020-12-04 08:00:00,1.32873,3,10,1,1,0
USD_CHF,2020-12-04 08:00:00,0.88914,2,4,1,1,1
USD_CHF,2020-12-04 20:00:00,0.88914,2,7,1,1,0
EUR_CAD,2020-12-07 04:00:00,1.5474,3,8,1,1,0
EUR_GBP,2020-12-07 08:00:00,0.89284,3,4,1,1,1
USD_CHF,2020-12-07 08:00:00,0.88855,3,5,1,1,0
AUD_JPY,2020-12-07 16:00:00,76.54,3,7,1,1,1
AUD_USD,2020-12-07 16:00:00,0.73377,4,7,1,1,0
GBP_NZD,2020-12-07 16:00:00,1.88684,2,20,1,1,1
GBP_USD,2020-12-07 16:00:00,1.32873,3,8,1,1,1
NZD_JPY,2020-12-07 16:00:00,73.083,3,7,1,1,1
EUR_NZD,2020-12-08 00:00:00,1.69811,4,6,1,1,1
GBP_NZD,2020-12-09 00:00:00,1.88451,2,8,1,1,0
AUD_CAD,2020-12-09 04:00:00,0.94573,2,10,1,1,1
EUR_USD,2020-12-09 04:00:00,1.204,3,5,1,1,1
GBP_CAD,2020-12-09 08:00:00,1.69664,3,5,1,1,0
GBP_CHF,2020-12-09 08:00:00,1.18086,4,4,1,1,1
GBP_JPY,2020-12-09 08:00:00,137.903,4,5,1,1,1
GBP_USD,2020-12-09 08:00:00,1.32243,4,5,1,1,0
GBP_NZD,2020-12-09 20:00:00,1.88451,2,8,1,1,0
EUR_GBP,2020-12-10 00:00:00,0.89827,2,20,1,1,0
EUR_GBP,2020-12-10 08:00:00,0.89827,3,5,1,1,0
AUD_CAD,2020-12-10 16:00:00,0.94573,3,4,1,1,0
AUD_CHF,2020-12-10 16:00:00,0.65804,4,4,1,1,1
NZD_CHF,2020-12-10 16:00:00,0.62313,4,4,1,1,1
NZD_JPY,2020-12-10 16:00:00,73.022,4,4,1,1,0
EUR_USD,2020-12-11 00:00:00,1.20585,3,8,1,1,0
EUR_GBP,2020-12-11 08:00:00,0.89827,2,11,1,1,1
CAD_CHF,2020-12-14 00:00:00,0.69257,4,6,1,1,1
EUR_AUD,2020-12-14 00:00:00,1.604,4,4,1,1,1
EUR_CHF,2020-12-14 00:00:00,1.07353,2,4,1,1,1
EUR_JPY,2020-12-14 00:00:00,125.784,3,13,1,1,1
AUD_CAD,2020-12-14 08:00:00,0.94573,4,10,1,1,0
AUD_USD,2020-12-14 08:00:00,0.73725,4,6,1,1,1
CHF_JPY,2020-12-14 08:00:00,116.647,3,4,1,1,1
EUR_USD,2020-12-14 08:00:00,1.20585,4,4,1,1,0
GBP_CAD,2020-12-14 08:00:00,1.67689,5,5,1,1,1
GBP_CHF,2020-12-14 08:00:00,1.1683,3,5,1,1,0
GBP_JPY,2020-12-14 08:00:00,136.786,3,5,1,1,0
GBP_USD,2020-12-14 08:00:00,1.31338,4,5,1,1,1
NZD_CAD,2020-12-14 08:00:00,0.89841,4,10,1,1,1
NZD_JPY,2020-12-14 08:00:00,73.022,4,4,1,1,1
NZD_USD,2020-12-14 08:00:00,0.70053,4,6,1,1,1
EUR_AUD,2020-12-14 16:00:00,1.604,3,8,1,1,0
CAD_JPY,2020-12-15 00:00:00,81.177,3,8,1,1,1
CHF_JPY,2020-12-15 00:00:00,116.647,3,8,1,1,0
EUR_JPY,2020-12-15 00:00:00,125.784,4,8,1,1,0
GBP_AUD,2020-12-15 00:00:00,1.74257,2,9,1,1,1
GBP_JPY,2020-12-15 00:00:00,136.786,2,9,1,1,1
GBP_NZD,2020-12-15 00:00:00,1.85208,3,9,1,1,1
GBP_USD,2020-12-15 00:00:00,1.31338,3,9,1,1,0
CAD_JPY,2020-12-15 08:00:00,81.177,4,5,1,1,0
EUR_GBP,2020-12-15 08:00:00,0.89831,2,5,1,1,0
EUR_NZD,2020-12-15 08:00:00,1.707,2,8,1,1,1
AUD_USD,2020-12-15 12:00:00,0.73991,3,13,1,1,0
NZD_CHF,2020-12-15 16:00:00,0.62313,1,22,1,1,0
NZD_USD,2020-12-15 16:00:00,0.70107,2,14,1,1,0
CAD_CHF,2020-12-15 20:00:00,0.69257,4,7,1,1,0
EUR_CAD,2020-12-16 04:00:00,1.54029,3,9,1,1,1
GBP_AUD,2020-12-16 04:00:00,1.74257,2,9,1,1,0
GBP_CAD,2020-12-16 04:00:00,1.67689,4,5,1,1,0
USD_CAD,2020-12-16 04:00:00,1.27066,4,10,1,1,1
GBP_CHF,2020-12-16 08:00:00,1.1683,2,6,1,1,1
AUD_NZD,2020-12-16 12:00:00,1.06053,1,21,1,1,1
AUD_JPY,2020-12-16 16:00:00,77.351,2,18,1,1,1
USD_CHF,2020-12-16 16:00:00,0.88501,3,8,1,1,1
GBP_CAD,2020-12-17 00:00:00,1.67689,3,10,1,1,0
GBP_CHF,2020-12-17 00:00:00,1.1683,2,10,1,1,0
GBP_JPY,2020-12-17 04:00:00,136.786,3,11,1,1,0
AUD_CAD,2020-12-17 08:00:00,0.95487,4,8,1,1,1
AUD_CHF,2020-12-17 08:00:00,0.66537,2,4,1,1,1
AUD_NZD,2020-12-17 08:00:00,1.06053,2,7,1,1,0
NZD_CAD,2020-12-17 08:00:00,0.89841,3,8,1,1,0
NZD_CHF,2020-12-17 08:00:00,0.62505,2,4,1,1,1
NZD_JPY,2020-12-17 08:00:00,73.212,3,4,1,1,0
NZD_USD,2020-12-17 08:00:00,0.70588,2,12,1,1,0
EUR_AUD,2020-12-17 16:00:00,1.604,3,8,1,1,1
USD_CHF,2020-12-17 16:00:00,0.88259,4,8,1,1,0
EUR_GBP,2020-12-18 04:00:00,0.8982,3,4,1,1,1
