trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,final_r,spread_pips_used,spread_pips_exit,fold
93,AUD_JPY,2020-11-24 16:00:00,2020-11-24 20:00:00,2021-01-21 20:00:00,time_exit,240,6.466806182,0.9,0.8,1
94,AUD_NZD,2020-11-24 16:00:00,2020-11-24 20:00:00,2020-11-25 16:00:00,stoploss,6,-1.023343198,2.1,2.1,1
95,EUR_GBP,2020-11-25 00:00:00,2020-11-25 04:00:00,2021-01-15 08:00:00,stoploss,212,-1.010193572,0.8,0.8,1
96,USD_CHF,2020-11-25 08:00:00,2020-11-25 12:00:00,2020-11-25 16:00:00,stoploss,2,-1.010695636,0.9,0.9,1
97,USD_CAD,2020-11-27 00:00:00,2020-11-27 04:00:00,2020-11-30 12:00:00,stoploss,9,-1.013002967,1.3,1.3,1
98,EUR_NZD,2020-11-30 04:00:00,2020-11-30 08:00:00,2020-12-31 12:00:00,stoploss,134,-1.024802613,3.8,3.8,1
99,AUD_NZD,2020-12-03 04:00:00,2020-12-03 08:00:00,2021-02-01 08:00:00,time_exit,240,3.426147506,2.1,2.1,1
100,USD_CAD,2020-12-03 08:00:00,2020-12-03 12:00:00,2020-12-03 16:00:00,stoploss,2,-1.012633117,1.3,1.3,1
101,USD_CHF,2020-12-04 08:00:00,2020-12-04 12:00:00,2020-12-09 08:00:00,stoploss,18,-1.010783433,0.9,0.9,1
102,GBP_NZD,2020-12-07 16:00:00,2020-12-07 20:00:00,2020-12-10 16:00:00,stoploss,18,-1.015348897,4.8,4.8,1
103,EUR_AUD,2020-12-14 00:00:00,2020-12-14 04:00:00,2020-12-28 00:00:00,stoploss,54,-1.012742677,2.4,2.4,1
104,GBP_CAD,2020-12-14 08:00:00,2020-12-14 12:00:00,2020-12-15 08:00:00,stoploss,6,-1.016646428,5.2,5.2,1
105,GBP_USD,2020-12-14 08:00:00,2020-12-14 12:00:00,2020-12-21 08:00:00,stoploss,30,-1.003473809,0.9,0.9,1
106,GBP_AUD,2020-12-15 00:00:00,2020-12-15 04:00:00,2021-01-05 16:00:00,stoploss,82,-1.013573407,4,4,1
107,GBP_NZD,2020-12-15 00:00:00,2020-12-15 04:00:00,2021-01-06 08:00:00,stoploss,86,-1.014827084,4.8,4.8,1
108,USD_CAD,2020-12-16 04:00:00,2020-12-16 08:00:00,2021-01-04 08:00:00,stoploss,67,-1.011525825,1.3,1.3,1
109,GBP_CHF,2020-12-16 08:00:00,2020-12-16 12:00:00,2020-12-21 00:00:00,stoploss,16,-1.009483134,1.9,1.9,1
110,USD_CHF,2020-12-16 16:00:00,2020-12-16 20:00:00,2020-12-17 08:00:00,stoploss,4,-1.010796895,0.9,0.9,1
111,USD_JPY,2020-12-21 08:00:00,2020-12-21 12:00:00,2020-12-30 08:00:00,stoploss,36,-1.006196695,0.6,0.6,1
112,GBP_CHF,2020-12-21 16:00:00,2020-12-21 20:00:00,2021-02-17 20:00:00,time_exit,240,5.703567514,1.9,1.9,1
113,GBP_CAD,2020-12-21 20:00:00,2020-12-22 00:00:00,2021-02-18 00:00:00,time_exit,240,1.734291606,2.8,2.8,1
114,GBP_USD,2020-12-23 00:00:00,2020-12-23 04:00:00,2021-02-19 04:00:00,time_exit,240,3.994876177,0.9,0.9,1
115,NZD_CHF,2020-12-29 00:00:00,2020-12-29 04:00:00,2021-02-24 04:00:00,time_exit,240,8.41772429,1.7,1.7,1
116,CAD_CHF,2020-12-30 08:00:00,2020-12-30 12:00:00,2021-02-25 12:00:00,time_exit,240,9.49509958,1.5,1.5,1
117,AUD_CHF,2020-12-31 00:00:00,2020-12-31 04:00:00,2021-01-04 16:00:00,stoploss,10,-1.016292288,1.4,1.4,1
118,USD_JPY,2020-12-31 16:00:00,2020-12-31 20:00:00,2021-01-04 08:00:00,stoploss,4,-1.008071509,0.6,0.6,1
119,GBP_JPY,2021-01-05 16:00:00,2021-01-05 20:00:00,2021-03-02 20:00:00,time_exit,240,10.09398049,2.4,2,1
120,EUR_CHF,2021-01-06 08:00:00,2021-01-06 12:00:00,2021-01-14 00:00:00,stoploss,34,-1.014385386,1,1,1
121,CHF_JPY,2021-01-07 00:00:00,2021-01-07 04:00:00,2021-01-14 12:00:00,stoploss,33,-1.020201183,2.2,2.2,1
122,EUR_JPY,2021-01-07 00:00:00,2021-01-07 04:00:00,2021-01-11 12:00:00,stoploss,15,-1.011556984,1,1.4,1
123,USD_JPY,2021-01-07 04:00:00,2021-01-07 08:00:00,2021-03-04 08:00:00,time_exit,240,8.716408873,0.6,0.6,1
124,USD_CHF,2021-01-08 00:00:00,2021-01-08 04:00:00,2021-03-05 04:00:00,time_exit,240,8.498184176,0.9,0.9,1
125,AUD_CHF,2021-01-08 04:00:00,2021-01-08 08:00:00,2021-01-11 08:00:00,stoploss,7,-1.014699683,1.4,1.4,1
126,AUD_CAD,2021-01-08 08:00:00,2021-01-08 12:00:00,2021-01-14 00:00:00,stoploss,22,-1.017337602,1.9,1.9,1
127,GBP_NZD,2021-01-08 08:00:00,2021-01-08 12:00:00,2021-03-05 12:00:00,time_exit,240,5.006085729,4.8,5.4,1
128,GBP_AUD,2021-01-08 16:00:00,2021-01-08 20:00:00,2021-03-05 20:00:00,time_exit,240,4.511672519,4,4,1
129,NZD_USD,2021-01-12 08:00:00,2021-01-12 12:00:00,2021-01-15 16:00:00,stoploss,20,-1.009488863,1.1,1.1,1
130,CAD_JPY,2021-01-13 08:00:00,2021-01-13 12:00:00,2021-01-18 04:00:00,stoploss,17,-1.015559139,1.2,1.2,1
131,NZD_CAD,2021-01-15 08:00:00,2021-01-15 12:00:00,2021-01-18 16:00:00,stoploss,8,-1.021248669,2.3,2.3,1
132,AUD_CAD,2021-01-18 00:00:00,2021-01-18 04:00:00,2021-01-20 16:00:00,stoploss,16,-1.018266285,1.9,1.9,1
133,EUR_CAD,2021-01-18 00:00:00,2021-01-18 04:00:00,2021-01-20 16:00:00,stoploss,16,-1.024103585,1.8,3.7,1
134,EUR_NZD,2021-01-18 00:00:00,2021-01-18 04:00:00,2021-01-21 00:00:00,stoploss,18,-1.019609808,3.8,3.8,1
135,USD_CAD,2021-01-18 00:00:00,2021-01-18 04:00:00,2021-01-20 08:00:00,stoploss,14,-1.008737865,1.3,1.3,1
136,NZD_USD,2021-01-19 00:00:00,2021-01-19 04:00:00,2021-03-16 04:00:00,time_exit,240,1.248906852,1.1,1.1,1
137,EUR_JPY,2021-01-20 00:00:00,2021-01-20 04:00:00,2021-01-20 16:00:00,stoploss,4,-1.014812444,1.4,1.4,1
138,EUR_USD,2021-01-20 00:00:00,2021-01-20 04:00:00,2021-01-20 16:00:00,stoploss,4,-1.00694742,0.7,0.7,1
139,CAD_JPY,2021-01-20 08:00:00,2021-01-20 12:00:00,2021-01-25 16:00:00,stoploss,20,-1.01531103,1.2,1.2,1
140,NZD_JPY,2021-01-20 08:00:00,2021-01-20 12:00:00,2021-03-17 12:00:00,time_exit,240,9.515319294,1,1.4,1
141,AUD_CHF,2021-01-21 00:00:00,2021-01-21 04:00:00,2021-01-21 20:00:00,stoploss,5,-1.017917982,1.4,1.4,1
142,AUD_USD,2021-01-21 00:00:00,2021-01-21 04:00:00,2021-01-22 12:00:00,stoploss,9,-1.009979455,1,1,1
143,CHF_JPY,2021-01-21 00:00:00,2021-01-21 04:00:00,2021-03-04 12:00:00,stoploss,183,-1.023028617,2.2,2.2,1
144,NZD_CAD,2021-01-21 00:00:00,2021-01-21 04:00:00,2021-03-08 08:00:00,stoploss,194,-1.026060661,2.3,2.3,1
145,EUR_CHF,2021-01-22 00:00:00,2021-01-22 04:00:00,2021-03-19 04:00:00,time_exit,240,9.136071746,1,1,1
146,USD_CAD,2021-01-22 00:00:00,2021-01-22 04:00:00,2021-02-19 16:00:00,stoploss,124,-1.010637574,1.3,1.3,1
147,EUR_CAD,2021-01-28 04:00:00,2021-01-28 08:00:00,2021-02-02 08:00:00,stoploss,19,-1.02483726,3.7,3.7,1
148,EUR_GBP,2021-01-28 08:00:00,2021-01-28 12:00:00,2021-01-28 16:00:00,stoploss,2,-1.010238861,0.8,0.8,1
149,EUR_USD,2021-01-28 08:00:00,2021-01-28 12:00:00,2021-02-02 12:00:00,stoploss,19,-1.006211078,0.7,0.7,1
150,CAD_JPY,2021-01-29 08:00:00,2021-01-29 12:00:00,2021-03-26 12:00:00,time_exit,240,10.70286855,1.2,1.2,1
151,EUR_JPY,2021-01-29 08:00:00,2021-01-29 12:00:00,2021-02-02 00:00:00,stoploss,10,-1.008676236,1.4,1,1
152,AUD_CHF,2021-01-29 12:00:00,2021-01-29 16:00:00,2021-02-01 00:00:00,stoploss,3,-1.014795861,1.4,1.4,1
153,AUD_NZD,2021-02-01 16:00:00,2021-02-01 20:00:00,2021-02-02 08:00:00,stoploss,4,-1.025984846,2.1,2.1,1
154,EUR_AUD,2021-02-02 04:00:00,2021-02-02 08:00:00,2021-02-04 08:00:00,stoploss,13,-1.011223091,2.4,2.4,1
155,EUR_JPY,2021-02-03 20:00:00,2021-02-04 00:00:00,2021-04-01 00:00:00,time_exit,240,7.352789028,1,1.4,1
156,AUD_CAD,2021-02-04 00:00:00,2021-02-04 04:00:00,2021-03-05 12:00:00,stoploss,129,-1.01772425,1.9,1.9,1
157,AUD_JPY,2021-02-04 00:00:00,2021-02-04 04:00:00,2021-04-01 04:00:00,time_exit,240,7.383647492,0.9,0.8,1
158,AUD_USD,2021-02-04 00:00:00,2021-02-04 04:00:00,2021-02-05 04:00:00,stoploss,7,-1.009009022,1,1,1
159,EUR_GBP,2021-02-04 04:00:00,2021-02-04 08:00:00,2021-02-04 12:00:00,stoploss,2,-1.010949767,0.8,0.8,1
160,EUR_NZD,2021-02-05 00:00:00,2021-02-05 04:00:00,2021-02-19 12:00:00,stoploss,63,-1.019666262,3.8,3.8,1
161,AUD_CHF,2021-02-09 00:00:00,2021-02-09 04:00:00,2021-02-09 12:00:00,stoploss,3,-1.018908587,1.4,1.4,1
162,EUR_USD,2021-02-09 00:00:00,2021-02-09 04:00:00,2021-03-02 08:00:00,stoploss,92,-1.003153533,0.7,0.3,1
163,EUR_AUD,2021-02-09 08:00:00,2021-02-09 12:00:00,2021-02-15 04:00:00,stoploss,23,-1.01681169,2.4,2.4,1
164,AUD_USD,2021-02-09 20:00:00,2021-02-10 00:00:00,2021-03-05 00:00:00,stoploss,103,-1.010379736,1,1,1
165,AUD_NZD,2021-02-17 00:00:00,2021-02-17 04:00:00,2021-02-24 08:00:00,stoploss,32,-1.028054116,2.1,2.1,1
166,AUD_CHF,2021-02-17 16:00:00,2021-02-17 20:00:00,2021-04-14 20:00:00,time_exit,240,4.912342008,1.4,1.4,1
167,GBP_USD,2021-02-24 00:00:00,2021-02-24 04:00:00,2021-02-24 12:00:00,stoploss,3,-1.004627101,0.9,0.8,1
168,NZD_CHF,2021-02-24 08:00:00,2021-02-24 12:00:00,2021-02-26 00:00:00,stoploss,10,-1.015530158,1.7,1.7,1
169,EUR_GBP,2021-02-25 08:00:00,2021-02-25 12:00:00,2021-03-08 12:00:00,stoploss,43,-1.009753702,0.8,0.8,1
170,EUR_NZD,2021-02-26 08:00:00,2021-02-26 12:00:00,2021-04-23 12:00:00,time_exit,240,1.932007917,3.8,3.8,1
171,EUR_CAD,2021-02-26 16:00:00,2021-02-26 20:00:00,2021-03-01 12:00:00,stoploss,5,-1.011384374,1.8,1.8,1
172,GBP_CAD,2021-03-01 00:00:00,2021-03-01 04:00:00,2021-03-01 12:00:00,stoploss,3,-1.012070617,2.8,2.8,1
173,GBP_CHF,2021-03-01 00:00:00,2021-03-01 04:00:00,2021-04-26 04:00:00,time_exit,240,-0.1703964402,1.9,1.9,1
174,EUR_AUD,2021-03-02 00:00:00,2021-03-02 04:00:00,2021-03-10 16:00:00,stoploss,40,-1.010073253,2.4,2.4,1
175,EUR_USD,2021-03-03 08:00:00,2021-03-03 12:00:00,2021-03-04 08:00:00,stoploss,6,-1.002481959,0.3,0.3,1
176,GBP_USD,2021-03-03 08:00:00,2021-03-03 12:00:00,2021-03-04 20:00:00,stoploss,9,-1.004587548,0.8,0.9,1
177,NZD_CHF,2021-03-03 08:00:00,2021-03-03 12:00:00,2021-03-05 12:00:00,stoploss,13,-1.012614005,1.7,1.7,1
178,AUD_NZD,2021-03-03 16:00:00,2021-03-03 20:00:00,2021-04-28 20:00:00,time_exit,240,-0.5181753158,2.1,2.5,1
179,CHF_JPY,2021-03-08 00:00:00,2021-03-08 04:00:00,2021-05-03 04:00:00,time_exit,240,4.754391474,2.2,2.2,1
180,GBP_JPY,2021-03-08 00:00:00,2021-03-08 04:00:00,2021-03-24 00:00:00,stoploss,72,-1.008909707,2.4,2,1
181,GBP_AUD,2021-03-08 08:00:00,2021-03-08 12:00:00,2021-03-11 08:00:00,stoploss,18,-1.01446129,4,4,1
182,NZD_CHF,2021-03-08 16:00:00,2021-03-08 20:00:00,2021-03-22 20:00:00,stoploss,61,-1.013327579,1.7,1.7,1
183,GBP_NZD,2021-03-09 00:00:00,2021-03-09 04:00:00,2021-03-11 08:00:00,stoploss,14,-1.019036449,5.6,5.4,1
184,USD_JPY,2021-03-09 00:00:00,2021-03-09 04:00:00,2021-03-09 08:00:00,stoploss,2,-1.005991545,0.6,0.6,1
185,AUD_CAD,2021-03-09 16:00:00,2021-03-09 20:00:00,2021-03-12 16:00:00,stoploss,18,-1.01481475,1.9,1.9,1
186,NZD_CAD,2021-03-09 16:00:00,2021-03-09 20:00:00,2021-03-12 12:00:00,stoploss,17,-1.020654492,2.3,2.3,1
187,AUD_USD,2021-03-09 20:00:00,2021-03-10 00:00:00,2021-03-23 20:00:00,stoploss,60,-1.006325784,1,1,1
188,USD_CAD,2021-03-10 00:00:00,2021-03-10 04:00:00,2021-03-11 12:00:00,stoploss,9,-1.007989398,1.3,1.3,1
189,CAD_CHF,2021-03-10 08:00:00,2021-03-10 12:00:00,2021-04-19 16:00:00,stoploss,170,-1.015755853,1.5,1.5,1
190,GBP_USD,2021-03-11 04:00:00,2021-03-11 08:00:00,2021-03-15 16:00:00,stoploss,15,-1.006495924,1.1,1.1,1
191,EUR_CAD,2021-03-11 08:00:00,2021-03-11 12:00:00,2021-03-12 08:00:00,stoploss,6,-1.015072055,1.8,1.8,1
