trade_id,selected_SL,final_r_X,peak_mfe_X,peak_mfe_atr,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X,sl_triggered,truncated_at_bar,peak_mfe_bar_X
704,2,-1,0.008146111891,0.01629222378,0,0,0,1,10,7
706,2,-1,-0.3811270833,-0.7622541666,0,0,0,1,1,0
708,2,-1,-0.1000187729,-0.2000375458,0,0,0,1,1,0
711,2,-1,0.3415483358,0.6830966716,0,0,0,1,7,0
715,2,-1,-0.03282056904,-0.06564113808,0,0,0,1,10,1
717,2,-1,0.4127384498,0.8254768996,0,0,0,1,32,0
725,2,-1,-0.2250122261,-0.4500244522,0,0,0,1,1,0
729,2,-1,0.06490109136,0.1298021827,0,0,0,1,11,2
731,2,-1,0.6092116442,1.218423288,0,0,0.5,1,23,4
735,2,-1,0.2364856082,0.4729712164,0,0,0,1,4,1
737,2,-1,-0.1157533526,-0.2315067052,0,0,0,1,1,0
738,2,-1,-0.0354185658,-0.0708371316,0,0,0,1,6,0
742,2,-1,-0.3242879924,-0.6485759848,0,0,0,1,1,0
747,2,-1,0.2159722089,0.4319444178,0,0,0,1,11,8
748,2,-1,0.1815911303,0.3631822606,0,0,0,1,15,4
749,2,-1,0.02379412605,0.0475882521,0,0,0,1,20,9
750,2,-1,-0.2926568386,-0.5853136772,0,0,0,1,7,0
756,2,-1,-0.04006041351,-0.08012082702,0,0,0,1,6,2
762,2,-1,0.1433448139,0.2866896278,0,0,0,1,3,1
765,2,-1,-0.09333886053,-0.1866777211,0,0,0,1,6,0
766,2,-1,0.3036762799,0.6073525598,0,0,0,1,29,9
768,2,-1,-0.1736564546,-0.3473129092,0,0,0,1,8,0
769,2,-1,-0.3173340637,-0.6346681274,0,0,0,1,4,2
770,2,-1,0.440578083,0.881156166,0,0,0,1,11,4
771,2,-1,-0.1987385956,-0.3974771912,0,0,0,1,2,0
775,2,-1,-0.07329441639,-0.1465888328,0,0,0,1,6,5
783,2,-1,-0.2611410743,-0.5222821486,0,0,0,1,3,0
786,2,-1,-0.2252990621,-0.4505981242,0,0,0,1,2,1
787,2,-1,-0.7694814029,-1.538962806,0,0,0,1,1,0
788,2,-1,-0.2323386133,-0.4646772266,0,0,0,1,4,1
790,2,-1,-0.2654073153,-0.5308146306,0,0,0,1,5,0
796,2,-1,-0.2407496457,-0.4814992914,0,0,0,1,5,0
804,2,-1,-0.0536160862,-0.1072321724,0,0,0,1,34,1
806,2,-1,-0.2438198046,-0.4876396092,0,0,0,1,3,0
808,2,-1,-0.3312567617,-0.6625135234,0,0,0,1,5,0
811,2,-1,0.04490378781,0.08980757562,0,0,0,1,5,1
813,2,-1,-0.2631354278,-0.5262708556,0,0,0,1,6,1
814,2,-1,-0.07581782537,-0.1516356507,0,0,0,1,2,0
815,2,-1,0.4713135238,0.9426270476,0,0,0,1,3,0
822,2,-1,-0.003033424285,-0.00606684857,0,0,0,1,4,0
828,2,-1,-0.1484322742,-0.2968645484,0,0,0,1,6,0
829,2,-1,0.05123738894,0.1024747779,0,0,0,1,4,0
830,2,-1,-0.04703693564,-0.09407387128,0,0,0,1,6,4
838,2,-1,-0.2181470268,-0.4362940536,0,0,0,1,3,1
839,2,-1,-0.06406641625,-0.1281328325,0,0,0,1,9,3
843,2,-1,-0.2322656657,-0.4645313314,0,0,0,1,7,0
848,2,-1,-0.4595992915,-0.919198583,0,0,0,1,4,2
851,2,-1,0.2051554295,0.410310859,0,0,0,1,2,0
853,2,-1,-0.7495893089,-1.499178618,0,0,0,1,1,0
856,2,-1,-0.4359995961,-0.8719991922,0,0,0,1,5,3
860,2,-1,0.07831975157,0.1566395031,0,0,0,1,10,7
867,2,-1,-0.5395885829,-1.079177166,0,0,0,1,2,1
868,2,-1,-0.01059014676,-0.02118029352,0,0,0,1,10,2
869,2,-1,0.002162339116,0.004324678232,0,0,0,1,13,3
874,2,-1,-0.7801543577,-1.560308715,0,0,0,1,3,0
875,2,-1,0.2338397573,0.4676795146,0,0,0,1,5,1
877,2,-1,0.4078177528,0.8156355056,0,0,0,1,21,0
878,2,-1,-1.621968405,-3.24393681,0,1,0,1,0,0
879,2,-1,-0.5081856485,-1.016371297,0,0,0,1,2,1
882,2,-1,0.1397827333,0.2795654666,0,0,0,1,4,0
883,2,-1,0.2615409179,0.5230818358,0,0,0,1,15,8
886,2,-1,0.2393583598,0.4787167196,0,0,0,1,1,0
887,2,-1,-1.116563643,-2.233127286,0,1,0,1,0,0
888,2,-1,-1.004515977,-2.009031954,0,1,0,1,0,0
889,2,-1,0.005555552963,0.01111110593,0,0,0,1,11,1
890,2,-1,0.1226249907,0.2452499814,0,0,0,1,16,1
893,2,-1,-0.4643916331,-0.9287832662,0,0,0,1,2,1
894,2,-1,-0.1120368983,-0.2240737966,0,0,0,1,6,0
896,2,-1,-0.4056017155,-0.811203431,0,0,0,1,1,0
898,2,-1,0.1824561104,0.3649122208,0,0,0,1,17,3
899,2,-1,-0.0478118888,-0.0956237776,0,0,0,1,13,0
902,2,-1,0.09664854017,0.1932970803,0,0,0,1,4,0
903,2,-1,0.8114339874,1.622867975,0,0,1,1,21,2
908,2,-1,-1.009607391,-2.019214782,0,1,0,1,0,0
909,2,-1,-0.2996045782,-0.5992091564,0,0,0,1,5,1
913,2,-1,-0.0419992552,-0.0839985104,0,0,0,1,3,0
921,2,-1,-0.150648149,-0.301296298,0,0,0,1,3,0
930,2,-1,-0.3026889353,-0.6053778706,0,0,0,1,2,0
932,2,-1,-1.028987506,-2.057975012,0,1,0,1,0,0
933,2,-1,-0.2067689401,-0.4135378802,0,0,0,1,13,10
938,2,-1,-0.2814323322,-0.5628646644,0,0,0,1,1,0
939,2,-1,-1.022482079,-2.044964158,0,1,0,1,0,0
940,2,-1,-0.0234248394,-0.0468496788,0,0,0,1,4,0
942,2,-1,-0.1374675107,-0.2749350214,0,0,0,1,10,4
944,2,-1,-0.2456264504,-0.4912529008,0,0,0,1,2,1
945,2,-1,-0.07333870542,-0.1466774108,0,0,0,1,10,0
947,2,-1,0.225266722,0.450533444,0,0,0,1,5,0
