trade_id,race_condition,mae_mfe_ratio_winners
EUR_AUD_2023-10-17 00:00:00,-57.0,0.25841242
EUR_GBP_2023-10-27 20:00:00,-20.0,
CAD_JPY_2023-11-07 16:00:00,-28.0,0.12910129
GBP_AUD_2023-12-07 08:00:00,157.0,
EUR_GBP_2023-12-25 08:00:00,-27.0,-0.0
AUD_NZD_2023-12-18 00:00:00,-34.0,0.3128834
EUR_JPY_2024-01-09 00:00:00,-234.0,0.025879918
GBP_AUD_2024-01-10 04:00:00,-233.0,0.022196261
NZD_JPY_2024-01-09 00:00:00,-234.0,0.09696458
CAD_CHF_2024-01-23 04:00:00,-6.0,
CHF_JPY_2024-02-12 08:00:00,39.0,
USD_CAD_2024-02-15 12:00:00,51.0,
EUR_GBP_2024-03-14 20:00:00,-231.0,0.44
AUD_JPY_2024-04-03 00:00:00,-69.0,0.026613817
