trade_id,local_peaks_count,monotonicity_ratio_in_profit
GBP_CAD_2012-02-21 12:00:00,0,0.5
GBP_CAD_2012-06-19 08:00:00,0,0.6
GBP_CAD_2013-03-25 08:00:00,1,
GBP_CAD_2013-04-02 08:00:00,0,
GBP_CAD_2014-02-18 16:00:00,8,0.4
GBP_CAD_2014-03-24 12:00:00,0,0.0
GBP_CAD_2014-07-29 12:00:00,6,0.5
GBP_CAD_2016-12-06 16:00:00,0,0.5
GBP_CAD_2017-08-03 12:00:00,0,1.0
GBP_CAD_2018-06-11 08:00:00,5,0.5
GBP_CAD_2018-09-03 08:00:00,1,0.5
GBP_CAD_2021-04-22 08:00:00,0,
GBP_CAD_2021-07-01 08:00:00,2,0.6666666666666666
GBP_CAD_2022-02-15 08:00:00,8,0.5714285714285714
GBP_CAD_2022-02-15 20:00:00,11,0.5384615384615384
GBP_CAD_2023-08-09 20:00:00,1,1.0
GBP_CAD_2024-11-05 20:00:00,0,
GBP_CAD_2025-12-24 12:00:00,1,1.0
GBP_CHF_2012-06-28 12:00:00,0,
GBP_CHF_2013-03-15 16:00:00,2,0.6666666666666666
GBP_CHF_2013-12-30 08:00:00,0,
GBP_CHF_2015-09-21 08:00:00,2,0.2857142857142857
GBP_CHF_2016-11-08 12:00:00,2,0.3333333333333333
GBP_CHF_2020-02-03 04:00:00,0,
GBP_CHF_2020-10-12 08:00:00,2,0.42857142857142855
GBP_CHF_2021-05-13 16:00:00,5,0.5714285714285714
GBP_CHF_2021-06-01 08:00:00,0,
GBP_CHF_2024-12-26 16:00:00,7,0.5714285714285714
GBP_CHF_2025-01-28 16:00:00,8,0.5714285714285714
GBP_JPY_2010-03-19 04:00:00,0,
GBP_JPY_2010-07-12 04:00:00,2,1.0
GBP_JPY_2017-07-28 12:00:00,6,0.6111111111111112
GBP_JPY_2017-10-16 12:00:00,4,0.6
GBP_JPY_2017-12-26 12:00:00,12,0.5161290322580645
GBP_JPY_2020-12-29 16:00:00,10,0.5
GBP_JPY_2025-02-17 04:00:00,4,0.4
GBP_JPY_2025-04-29 16:00:00,9,0.5
GBP_JPY_2025-10-20 04:00:00,11,0.6206896551724138
GBP_NZD_2011-12-16 00:00:00,0,
GBP_NZD_2012-07-25 12:00:00,0,0.3333333333333333
GBP_NZD_2013-11-13 00:00:00,4,0.4375
GBP_NZD_2014-02-24 04:00:00,1,0.0
GBP_NZD_2016-03-15 08:00:00,3,0.5
GBP_NZD_2016-12-21 00:00:00,4,0.6153846153846154
GBP_NZD_2016-12-21 08:00:00,3,0.7
GBP_NZD_2017-07-18 08:00:00,3,0.5
GBP_NZD_2017-08-09 20:00:00,3,0.6363636363636364
GBP_NZD_2018-06-28 20:00:00,7,0.47619047619047616
GBP_NZD_2020-01-24 08:00:00,12,0.6176470588235294
GBP_NZD_2021-03-02 20:00:00,1,
GBP_NZD_2021-03-22 08:00:00,12,0.5806451612903226
GBP_NZD_2021-07-01 08:00:00,3,0.8
GBP_NZD_2021-07-14 00:00:00,0,
