trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
373,0.375,2,0,0.1333333333
374,0,0,0,0
375,0,0,0,0
376,0,0,0,0
377,0.5208333333,16,0.4086803196,0.8083333333
378,0,0,0,0
379,0.5,4,0.0275028738,0.3157894737
380,0.5,4,0,0.2083333333
381,0.5283018868,12,0.3608910277,0.7833333333
382,0,2,0,0.75
383,0,0,0,0
384,0,0,0,0
385,0.593220339,14,0.2763972118,1
386,0.25,0,0,0
387,0.55,16,0.2532483435,0.6
388,0.5333333333,24,0.4803982622,0.8666666667
389,0.5142857143,9,0.1272657828,0.3083333333
390,0.5056179775,8,0.3493385606,0.5916666667
391,0.5172413793,10,0.535215171,0.6
392,0.5869565217,8,0.2437412807,0.525
393,0.5520833333,24,0.3139801218,0.7583333333
394,0.5833333333,16,0.4870463842,0.5083333333
395,0.5614035088,26,0.2353945157,1
396,0,1,0,0.07142857143
397,0.5102040816,5,0.2416903177,0.6588235294
398,0.4895833333,21,0.183259846,0.8833333333
399,0.4683544304,12,0.2604760186,0.5818181818
400,0.4625,14,0.1783257586,0.4807692308
401,0.5769230769,15,0.3197629778,0.8666666667
402,0.4957983193,16,0.308971641,0.375
403,0.5172413793,16,0.162359156,0.45
404,0.5679012346,17,0.2773150586,0.9916666667
405,1,2,0.426780203,0.8125
406,0.4,0,0,0
407,1,4,0.2199457402,0.75
408,0.575,21,0.296343876,0.95
409,0,2,0.2059993747,0.5
410,0,0,0,0
411,0.5533980583,27,0.2156806153,0.825
412,0.4788732394,13,0.2194904013,0.42
413,0.5,3,0,0.8214285714
414,0.5431034483,32,0.3433675373,0.7416666667
415,0.4416666667,21,0.1143395315,0.3166666667
416,0.6666666667,1,0,0.04761904762
417,0.6315789474,35,0.2497767815,0.9916666667
418,0.4895833333,16,0.2207503252,0.2833333333
419,0.5630252101,27,0.4809856497,0.9333333333
420,0.4329896907,14,0.2314360702,0.225
421,0.5833333333,22,0.434627718,0.8916666667
422,0.5384615385,15,0.3096032647,0.3170731707
423,0.5384615385,14,0.17245941,0.2280701754
424,0.5175438596,14,0.3831239414,0.625
425,0.5287356322,20,0.3532358968,0.7666666667
426,0.5132743363,21,0.2267389117,0.5333333333
427,0.5321100917,27,0.3179947875,0.8083333333
428,0.5044247788,28,0.3979382445,0.65
429,0.3666666667,4,0.98273077,0.5925925926
430,0.5961538462,8,0.7294434055,0.6507936508
