trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,mfe_lock_active_at_exit,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit,fold,classifier_prob
861,GBP_AUD,2022-09-06 00:00:00,2022-09-06 04:00:00,2022-09-07 12:00:00,trail_stop,9,1,0.489451937,1.52771841,-0.1023486827,4,4,3,0.4874681878
870,AUD_CAD,2022-09-16 16:00:00,2022-09-16 20:00:00,2022-09-21 20:00:00,trail_stop,19,1,0.2200974319,1.255473838,-0.05014601387,1.9,1.9,3,0.9289940092
877,GBP_CHF,2022-09-27 00:00:00,2022-09-27 04:00:00,2022-09-28 12:00:00,stoploss,9,0,-1.003881663,0.2363728576,-1.029457934,1.9,1.9,3,0.6486081476
879,GBP_USD,2022-09-27 00:00:00,2022-09-27 04:00:00,2022-10-05 16:00:00,trail_stop,40,1,1.7810036,2.612021641,-0.8317852208,0.8,0.8,3,0.9354868311
887,NZD_JPY,2022-10-03 04:00:00,2022-10-03 08:00:00,2022-10-05 12:00:00,trail_stop,14,1,0.5422033651,1.732475512,-0.05814915143,1,1,3,0.9238449859
951,USD_JPY,2022-12-05 08:00:00,2022-12-05 12:00:00,2022-12-07 16:00:00,trail_stop,14,1,0.6500565157,1.543304403,-0.1320474356,0.6,0.6,3,0.9795720284
952,CHF_JPY,2022-12-05 16:00:00,2022-12-05 20:00:00,2022-12-07 16:00:00,trail_stop,12,1,0.1533224254,1.01877296,-0.1825366559,2.2,2.2,3,0.8030256723
971,EUR_NZD,2022-12-14 08:00:00,2022-12-14 12:00:00,2022-12-16 16:00:00,trail_stop,14,1,1.219528049,2.258267973,-0.3048280729,3.8,3.8,3,0.5057178311
974,USD_CHF,2022-12-15 16:00:00,2022-12-15 20:00:00,2022-12-22 08:00:00,stoploss,28,0,-1.005764853,0.4836071517,-1.063935734,0.9,0.9,3,0.7099286705
977,AUD_NZD,2022-12-20 16:00:00,2022-12-20 20:00:00,2022-12-22 16:00:00,trail_stop,12,1,2.494325661,3.353431666,-0.2912499134,2.1,2.1,3,0.9767375031
996,GBP_CHF,2023-01-02 16:00:00,2023-01-02 20:00:00,2023-01-04 08:00:00,trail_stop,10,1,0.276143255,1.694542046,-0.4392736537,3.3,1.9,4,0.9954200572
1002,GBP_NZD,2023-01-04 16:00:00,2023-01-04 20:00:00,2023-01-20 08:00:00,trail_stop,70,1,0.4142089567,1.412459396,-0.9346843049,4.8,4.8,4,0.7477458957
1014,NZD_CAD,2023-01-13 20:00:00,2023-01-16 00:00:00,2023-01-19 04:00:00,trail_stop,20,1,1.730441826,2.79453248,-0.1002130781,2.3,2.3,4,0.8085657516
1018,NZD_JPY,2023-01-16 08:00:00,2023-01-16 12:00:00,2023-01-18 08:00:00,trail_stop,12,1,1.795921438,2.99474983,-0.2293524054,1.4,1.4,4,0.680571201
1022,USD_JPY,2023-01-17 00:00:00,2023-01-17 04:00:00,2023-01-18 08:00:00,trail_stop,8,1,0.7010225135,2.006933736,-0.5943249056,0.6,0.6,4,0.5293962801
1025,CAD_CHF,2023-01-20 00:00:00,2023-01-20 04:00:00,2023-01-25 16:00:00,trail_stop,22,1,1.489202771,2.486508438,-0.2804177223,1.5,1.5,4,0.9455208554
