trade_id,pair,entry_date,body_to_range_ratio,upper_wick_ratio,lower_wick_ratio,range_to_atr_14,ret_5bar_atr,ret_20bar_atr,pos_in_20bar_range,rsi_14,atr_7,atr_28,ret_50bar_atr,ret_100bar_atr,body_to_range_mean_5,upper_wick_mean_5,bars_since_high20,bars_since_low20,rsi_7,rsi_28,cci_14,bb_pos_20,realized_vol_20,realized_vol_60,dist_to_swing_high_20,dist_to_swing_low_20
CHF_JPY_2015-10-13 00:00:00,CHF_JPY,2015-10-12 20:00:00,0.7174721189590852,0.0111524163568775,0.2713754646840373,0.6326679034315275,-0.9642893695424491,1.150091467576258,0.6564417177914141,55.62969983166556,0.3986356482469641,0.4395071680433545,3.3726608681070274,-0.2681194832386112,0.2585456473466015,0.37243360562142264,8.0,19.0,46.74114961019471,56.069535787797406,-5.327726419682219,0.410275163180025,0.0027360459318198234,0.0022310709984795793,1.8439094285884843,3.5231840867673303
CHF_JPY_2016-10-14 16:00:00,CHF_JPY,2016-10-14 12:00:00,0.0238095238094927,0.3401360544218013,0.636054421768706,0.7505205184724254,1.3529791659537092,-0.5769307386896912,0.8015161957270861,55.15231887190964,0.3713175492803424,0.4013743986956369,1.575071972440458,6.241573699541173,0.3379170765732325,0.22240191521404123,19.0,16.0,61.60022184024511,53.454528361381335,102.42460555222735,1.2562152261732473,0.002848940185820929,0.002368086834018522,0.7352037731974772,2.9688957924606716
CHF_JPY_2017-06-22 00:00:00,CHF_JPY,2017-06-21 20:00:00,0.5714285714285648,0.2110389610389489,0.2175324675324862,0.9879919795307804,0.8147726064961603,1.5557665911442111,0.8596491228070211,59.250872528988005,0.30141925477866727,0.3307391016898229,2.2999683419595853,3.987253345963446,0.48902236520374237,0.18949872785625296,8.0,19.0,61.68599376220005,55.88976786298725,73.33965844403417,1.1004233371565224,0.0015293838172771813,0.0020576126442459946,0.4362561987538274,2.672069217367272
CHF_JPY_2019-01-10 12:00:00,CHF_JPY,2019-01-10 08:00:00,0.5858895705521232,0.0766871165644361,0.3374233128834407,0.8294427731681137,-1.1194933134784526,1.7250374239509263,0.6360677083333353,50.3331418666374,0.335421413447067,0.4306359751335204,-4.165023986736902,-7.836453194349204,0.2695590802114534,0.263617823371379,4.0,19.0,42.55884308714969,47.98460560122988,-89.15094339620963,-0.14134764323046214,0.0017043127534986655,0.0027076119679627945,1.4222653687146714,2.485784016519223
CHF_JPY_2019-07-24 00:00:00,CHF_JPY,2019-07-23 20:00:00,0.2695652173912441,0.2173913043478852,0.5130434782608706,0.5990425253538206,-0.1093903741950545,2.4170063631668204,0.7417519908987414,55.763367972227634,0.19116000124540006,0.19516978066178006,0.7813598156788868,-1.9846539318244867,0.3390971619583388,0.20721387990621304,8.0,19.0,52.46909765130873,54.286631635854846,-12.56629946958906,0.5285736555218337,0.0008755722497717268,0.0010711746009791172,1.1824578543941362,3.3963106654843527
CHF_JPY_2019-11-29 12:00:00,CHF_JPY,2019-11-29 08:00:00,0.4054054054054313,0.4054054054053353,0.1891891891892333,1.058638808220246,-0.3290363863386784,1.2875336856733548,0.8132352941176518,57.489289194023286,0.12413960809525751,0.15684060302405473,-0.9012735799712467,-0.9155795098121294,0.23918667294652812,0.5423542461057385,2.0,18.0,57.88673506966741,52.833520396477326,60.72895277205572,0.8552378592377683,0.0006000688806021782,0.0008484166578727542,0.9084265448916881,3.9555896009851925
CHF_JPY_2020-02-06 08:00:00,CHF_JPY,2020-02-06 04:00:00,0.2054794520548211,0.5068493150684291,0.2876712328767496,0.405487884622271,0.3055045706058866,2.088540337232738,0.6708860759493753,59.10271614717453,0.16050673826316683,0.1975555851713654,1.7774811380704336,-3.1605836486314316,0.24526285591336353,0.23424998206983833,5.0,19.0,60.6712081918671,53.9335960114508,46.80494558794389,0.8190568680437998,0.0008075785210552513,0.0012446505076879253,1.4442034246821436,2.943953134929094
CHF_JPY_2020-02-25 04:00:00,CHF_JPY,2020-02-25 00:00:00,0.6912928759894382,0.0448548812664793,0.2638522427440824,1.1349550344099757,-1.2757014370940516,0.8354946031672164,0.3314366998577569,51.29397620260036,0.37084614855913445,0.2854749735284773,2.41964028444131,3.0784532331753205,0.6223413143222567,0.1972157796259403,8.0,2.0,44.59264265004029,54.73396367910583,-118.00570731767873,-0.8712731301614814,0.0022156724638081947,0.0017740442749437152,2.8149280536816907,1.3954856095911639
CHF_JPY_2020-04-10 20:00:00,CHF_JPY,2020-04-10 16:00:00,0.2713178294573575,0.3023255813953821,0.4263565891472603,0.3477133625619147,0.199463479299092,1.16443544671906,0.7712499999999946,58.29737138355723,0.32378495736541674,0.4343399251825907,-0.5283086749003062,0.6792540105861025,0.30335205751184585,0.2014392747892379,6.0,10.0,60.81464395961733,53.68029731355598,137.89586688138064,1.149264764821443,0.0017824454931490625,0.0024720360299916692,0.4932677934018403,1.6630941449668093
CHF_JPY_2021-06-28 04:00:00,CHF_JPY,2021-06-28 00:00:00,0.4025974025974002,0.5974025974025998,0.0,1.4536880808563877,-0.43421851765843,0.59657848513067,0.5549374130737084,50.225502712741736,0.2491651285228837,0.2781680048290471,-6.955047908928385,-4.817937639409663,0.3346063433466101,0.3611694292210025,15.0,18.0,46.73451789900151,47.700557058759195,-54.90196078429958,-0.30587471734406474,0.0010578866328631884,0.0018696987059785431,1.2082602230494768,1.5065494656147849
