cluster_id,archetype,sl_multiplier,exit_policy,exposure,max_per_currency,architecture,search_worst_roi,search_worst_dd,search_worst_ratio,search_mean_roi,search_mean_dd,search_mean_ratio,search_sign_consistency,search_neg_folds,search_n_total,a3_n_bars,threshold_pair
1,v_shape_recovery,3.5,sl_only,unlimited,,A3,-0.3942355079108897,0.4087045082027043,-1.1934020076916325,-0.1381079096080007,0.18508904921783226,-0.5298991827099948,3,7,984,5.0,
1,v_shape_recovery,3.5,sl_plus_tp_3r,max_per_currency_2,2.0,A6,-0.0830844779969454,0.08404216299044016,-1.2232595959228307,-0.014261950884498241,0.05783182303844769,-0.15482147123570128,4,7,681,,"(0.5, 0.7)"
1,v_shape_recovery,4.0,sl_plus_tp_3r,unlimited,,A3,-0.28768099769723854,0.3002002994213499,-1.8292796454269773,-0.06955365820577344,0.132170208914757,-0.4996377937887505,3,7,1045,3.0,
1,v_shape_recovery,4.0,sl_plus_tp_3r,max_per_currency_2,2.0,A3,-0.21856267579363875,0.2158473240337472,-1.8292796454269773,-0.06640541479404569,0.11120748211453657,-0.5631697925706098,2,8,689,3.0,
1,v_shape_recovery,3.5,sl_plus_tp_3r,max_per_currency_2,2.0,A3,-0.19535112456485715,0.20984364896213803,-1.8292796454269773,-0.051862445725470475,0.10841179154025855,-0.41567409054912785,2,8,689,3.0,
1,v_shape_recovery,3.5,sl_plus_tp_3r,unlimited,,A3,-0.23485543284300925,0.25629003290393737,-1.8292796454269773,-0.05045092576037051,0.12596522680683236,-0.37432793993582314,2,8,1045,3.0,
1,v_shape_recovery,3.5,sl_only,unlimited,,A3,-0.3942355079108897,0.4087045082027043,-1.8292796454269773,-0.15023031112096125,0.1972404661578729,-0.78630238899117,1,9,1045,3.0,
1,v_shape_recovery,3.5,sl_only,max_per_currency_2,2.0,A3,-0.2973245096640138,0.29497346909701294,-1.8292796454269773,-0.11302019775210329,0.14333201609108548,-0.7764316580534899,1,9,689,3.0,
1,v_shape_recovery,4.0,sl_only,max_per_currency_2,2.0,A3,-0.30172527773368807,0.29789805755686954,-1.8292796454269773,-0.12367124121414497,0.14472130413354542,-0.858350125127347,1,9,689,3.0,
1,v_shape_recovery,4.0,sl_only,unlimited,,A3,-0.40491905735181477,0.414580829981684,-1.8292796454269773,-0.16557559919563256,0.19996452489247107,-0.8623795541096957,0,10,1045,3.0,
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A3,-0.014747115331382066,0.04281497587540061,-2.0083170260469845,0.15355368962624405,0.021022966515457063,7.93372157832138,9,1,689,3.0,
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,unlimited,,A3,-0.014747115331382066,0.053877941852946025,-2.0083170260469845,0.2485495915830896,0.025134341475929006,9.681989943645226,9,1,1045,3.0,
1,v_shape_recovery,3.5,sl_plus_tp_2r,unlimited,,A3,-0.1055859548284116,0.1802920950990071,-2.0971033605007,-0.01952027823651884,0.09863488836453242,-0.22970807835792412,3,7,1045,3.0,
1,v_shape_recovery,3.5,sl_plus_tp_2r,max_per_currency_2,2.0,A3,-0.0743808620933053,0.14013018324357893,-2.0971033605007,-0.025651145832769763,0.07826186750460377,-0.3402509280685198,3,7,689,3.0,
1,v_shape_recovery,4.0,sl_plus_tp_2r,max_per_currency_2,2.0,A3,-0.12281758827332001,0.1535161611692864,-2.0971033605007,-0.031791176440619004,0.08621382330714084,-0.3940198962866829,4,6,689,3.0,
1,v_shape_recovery,4.0,sl_plus_tp_2r,unlimited,,A3,-0.1924864914013188,0.2172047202935995,-2.0971033605007,-0.028067653432244422,0.10260615080062988,-0.3289034427833224,3,7,1045,3.0,
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A3,-0.018109539169822164,0.05210245369818513,-2.274355615628223,0.12414806276227389,0.026978538778435944,4.586908626174572,9,1,689,3.0,
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,unlimited,,A3,-0.018109539169822164,0.05510463858489053,-2.274355615628223,0.1990680445537741,0.030123596039914685,5.8864617144329285,9,1,1045,3.0,
