trade_id,pair,fold,sl_bar,partial_bar,replay_realized_r,slhonest_realized_r,delta_r,replay_booked_win
1357,EURJPY,8,21,117,2.0871795298228464,-1.0,-3.0871795298228464,1
1358,EURCAD,8,44,82,1.5991091403024893,-1.0,-2.599109140302489,1
1359,AUDCAD,8,24,102,0.5191126180363766,-1.0,-1.5191126180363765,1
1362,NZDCAD,8,30,75,0.7007107045201755,-1.0,-1.7007107045201755,1
1363,AUDNZD,8,46,93,0.6599785514081877,-1.0,-1.6599785514081877,1
1373,AUDUSD,8,14,198,0.977718730904659,-1.0,-1.9777187309046589,1
1383,AUDCAD,8,52,77,0.4207085355835731,-1.0,-1.4207085355835731,1
1384,CADJPY,8,67,114,0.2934017152546045,-1.0,-1.2934017152546045,1
1389,USDJPY,8,29,122,0.9928613319252164,-1.0,-1.9928613319252164,1
1410,USDCHF,8,4,51,0.6885682621587415,-1.0,-1.6885682621587415,1
1413,GBPJPY,8,61,228,0.2340987285000272,-1.0,-1.234098728500027,1
1415,CADJPY,8,26,163,0.3404446918041854,-1.0,-1.3404446918041855,1
1416,AUDJPY,8,18,179,1.2794090855538625,-1.0,-2.2794090855538625,1
1417,CADCHF,8,13,121,1.3921324905702144,-1.0,-2.3921324905702144,1
1420,USDCHF,8,79,238,0.185594287849617,-1.0,-1.185594287849617,1
1421,NZDCHF,8,68,181,0.5650518259936319,-1.0,-1.565051825993632,1
1422,GBPUSD,8,11,116,1.4588877193236391,-1.0,-2.458887719323639,1
1423,EURJPY,8,21,65,0.7493936598055119,-1.0,-1.749393659805512,1
1425,GBPCAD,8,3,138,1.1796900990617962,-1.0,-2.179690099061796,1
1427,GBPCHF,8,40,109,2.58316928464493,-1.0,-3.58316928464493,1
1434,USDCHF,8,34,122,0.4425477699658511,-1.0,-1.442547769965851,1
1438,EURNZD,8,36,120,0.7410915680221165,-1.0,-1.7410915680221164,1
1439,AUDNZD,8,29,159,1.0144984063372735,-1.0,-2.0144984063372737,1
1444,GBPCHF,8,22,107,1.0368295167029076,-1.0,-2.0368295167029076,1
1448,GBPJPY,8,13,131,0.4165888865582757,-1.0,-1.4165888865582756,1
1449,GBPCAD,8,15,85,1.30794579322321,-1.0,-2.30794579322321,1
1450,AUDCHF,8,33,73,0.5057973930388745,-1.0,-1.5057973930388746,1
1464,EURUSD,8,18,142,0.8982776234369423,-1.0,-1.8982776234369423,1
1466,EURGBP,8,16,75,0.6895382586243676,-1.0,-1.6895382586243675,1
1468,GBPJPY,8,104,113,0.8775416563534397,-1.0,-1.8775416563534397,1
1469,EURNZD,8,16,36,1.5159159237199278,-1.0,-2.515915923719928,1
1473,NZDCAD,8,30,126,1.0639783462285708,-1.0,-2.063978346228571,1
