trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
191,0.5583333333,26,0.32180459,0.8916666667
192,0.6666666667,7,0.1760184196,0.1739130435
193,0.4526315789,8,0.6712115572,0.7416666667
194,0.6095238095,30,0.4882912448,0.6916666667
195,0.5700934579,26,0.228883975,0.7333333333
196,0.55,16,0.33437924,0.875
197,0.5666666667,13,0.2730831005,0.6301369863
198,0.55,26,0.419771329,0.6583333333
199,0.4905660377,8,0.4272067523,0.4587155963
200,0.5230769231,3,1.168846452,0.5487804878
201,0.4415584416,8,0.4081444285,0.2
202,0.4318181818,6,0.9515523692,0.6016949153
203,0.495049505,10,0.5278235462,0.625
204,0.5,3,0.3752685025,0.5294117647
205,0.5294117647,1,0,0.0125
206,0.525862069,15,0.1138357715,0.3583333333
207,0.6,2,0,0.06896551724
208,0.580952381,24,0.3985302665,0.6
209,0.5573770492,10,0.106049647,0.2166666667
210,0.5630252101,21,0.2636650426,0.3333333333
211,0.4444444444,1,0,0.1666666667
212,0.5625,6,0.6009494318,0.7450980392
213,0.5,3,0.184888273,0.5
214,0.6071428571,10,0.8654039263,0.4864864865
215,0,1,0,0.1111111111
216,0,0,0,0
217,0,2,0,0.75
218,0.5714285714,1,0,0.04347826087
219,0.4861111111,13,0.3459143939,0.7166666667
220,0.5,8,0.5429987226,0.1403508772
221,0,0,0,0
222,0.5217391304,7,0.6001464131,0.625
223,0.6153846154,6,0.2389299268,0.4583333333
224,0.5,6,0.5568389949,0.4893617021
225,0.5,3,0.4357297507,0.3529411765
226,0.575,39,0.2516177053,0.9416666667
227,0,0,0,0
228,0.4,1,0,0.015625
229,0.5798319328,24,0.4788416188,0.925
230,0.5267857143,16,0.2372210727,0.8
231,0.6,2,0,0.03921568627
232,0.4444444444,6,0.420005832,0.4473684211
233,0.4666666667,8,0.2539457849,0.3095238095
234,0.4090909091,8,0.2883950434,0.3658536585
235,0.547008547,31,0.329809818,0.5333333333
236,0,0,0,0
237,0.5272727273,5,0.3716341729,0.1860465116
238,0,0,0,0
239,0.5555555556,4,0.7906827229,0.3333333333
240,0.4778761062,11,0.334536909,0.975
241,0.4482758621,3,0.8309437858,0.3428571429
242,0,0,0,0
243,0.5,2,0,0.5
244,0.4528301887,13,0.3000328489,0.6727272727
245,0.5357142857,10,0.2816416858,0.8611111111
246,0.5,4,0.1109146307,0.2857142857
247,0.5789473684,5,0.6203746096,0.9142857143
248,0.5,3,0.3259271882,0.8888888889
249,0.4854368932,11,0.2248039831,0.6347826087
250,0.537037037,10,0.4156809496,0.7416666667
251,0.5729166667,11,0.4192290852,0.3660714286
252,0,3,0.6225802018,0.7333333333
253,0.4857142857,25,0.3080452755,0.6126126126
254,0.5384615385,20,0.4610827011,0.8833333333
255,0.3125,2,0,0.3777777778
256,0.5546218487,17,0.101922089,0.325
257,0.5803571429,21,0.2692659992,0.7916666667
258,0.4366197183,5,0.741058699,0.1916666667
259,0.5866666667,15,0.388809656,0.9666666667
260,0.5,6,1.174311018,0.7083333333
261,0.40625,5,0.9533802375,0.4583333333
262,0.4545454545,5,0.2167735799,0.2285714286
263,0.4,0,0,0
264,0.52,8,0.5684742626,0.2771084337
265,0.5145631068,3,2.563511886,0.85
266,0.5833333333,6,0.043918688,0.1489361702
267,0,1,0,0.1136363636
268,0.5454545455,4,0.3976439695,0.2159090909
269,0.48,5,0.4079319059,0.225
270,0.5638297872,21,0.304136043,0.7333333333
271,0.5,4,0.1592808596,0.347826087
272,0.7272727273,8,0.1836251923,0.3658536585
273,0.5185185185,12,0.5319161613,0.3666666667
274,0,2,0,0.4285714286
275,0.5045045045,34,0.3300674765,0.9833333333
276,0.5526315789,28,0.1667120505,0.6
277,0.4655172414,19,0.180294681,0.5666666667
278,0.5333333333,31,0.134775621,0.55
279,0,1,0,0.3333333333
280,0.5083333333,12,0.181419166,0.2583333333
281,0.4789915966,21,0.2901865898,0.55
282,0.55,37,0.381984057,0.925
283,0,0,0,0
284,0,0,0,0
285,0.4778761062,17,0.3516073093,0.525
286,0,3,0.3143472753,0.6923076923
287,0.5166666667,20,0.2121028177,0.45
288,0,0,0,0
289,1,1,0,0.7
290,0.4857142857,10,0.4566947318,0.3916666667
291,0,0,0,0
292,0,0,0,0
293,0,0,0,0
294,0.5423728814,10,0.3417492164,0.2333333333
295,0.5089285714,15,0.250140413,0.275
296,0,0,0,0
297,0.5555555556,2,0.5390652819,0.3043478261
298,0.5585585586,26,0.5309945875,0.9916666667
299,0,0,0,0
300,0.5593220339,15,0.453453855,0.9666666667
301,0,1,0,0.06666666667
302,0,0,0,0
303,0,0,0,0
304,0,0,0,0
305,0.5673076923,30,0.2289463345,0.9583333333
306,0.5172413793,12,0.3175000748,0.9833333333
307,0.5294117647,26,0.3276829854,0.9833333333
308,0.5344827586,20,0.4829878341,0.7833333333
309,0.6166666667,42,0.258680298,0.875
310,0.4,5,0.4077126415,0.3333333333
311,0.5068493151,11,0.3382583047,0.4086021505
312,0.75,3,0.1094140565,0.4761904762
313,0.6666666667,4,0.144298077,0.45
314,0.5130434783,22,0.2697157568,0.5916666667
315,0.4,3,0,0.1034482759
316,1,1,0,0.7272727273
