config_id,arch,triage_folds,worst_triage_ratio,worst_triage_dd_base,worst_triage_dd_at_040,dropped_dd,f1_roi,f6_roi,f8_roi,f1_dd,f6_dd,f8_dd,f1_n,f6_n,f8_n
A4::A4::cl0::sl2.5::sl_partial_close_1r_runner_trail::exp2::et0.3,A4,6+8,-1.0,0.3882693199166092,0.3106154559332874,True,,-0.21264495825801055,-0.3882693199166092,,0.2144976967517294,0.3882693199166092,,938,970
A4::A4::cl0::sl3.5::sl_plus_tp_2r::exp2::et0.5,A4,6+8,-1.0,0.2731420580475902,0.21851364643807214,True,,-0.14147364761441572,-0.2731420580475902,,0.14324988386881754,0.2731420580475902,,946,971
A4::A4::cl0::sl3.5::sl_plus_tp_2r::expU::et0.3,A4,6+8,-1.0,0.3011958901601839,0.24095671212814712,True,,-0.17729609902487298,-0.3011958901601839,,0.17890515841529372,0.3011958901601839,,1061,1084
A4::A4::cl0::sl2.5::sl_partial_close_1r_runner_trail::expU::et0.3,A4,6+8,-1.0,0.430537558100365,0.344430046480292,True,,-0.2553611467622108,-0.430537558100365,,0.2573133959511748,0.430537558100365,,1061,1084
A4::A4::cl0::sl2.5::sl_plus_tp_2r::expU::et0.5,A4,6+8,-1.0,0.42999351215836756,0.34399480972669405,True,,-0.23771567844790265,-0.42999351215836756,,0.2397019085424772,0.42999351215836756,,1061,1084
A4::A4::cl0::sl3.0::sl_partial_close_1r_runner_trail::exp2::et0.5,A4,6+8,-1.0,0.32115224548979815,0.25692179639183854,True,,-0.1707224605861598,-0.32115224548979815,,0.17270765191334658,0.32115224548979815,,946,971
A4::A4::cl0::sl3.0::sl_partial_close_1r_runner_trail::exp2::et0.4,A4,6+8,-1.0,0.32115224548979815,0.25692179639183854,True,,-0.1707224605861598,-0.32115224548979815,,0.17270765191334658,0.32115224548979815,,946,971
A4::A4::cl0::sl2.5::sl_plus_tp_2r::expU::et0.4,A4,6+8,-1.0,0.42999351215836756,0.34399480972669405,True,,-0.23771567844790265,-0.42999351215836756,,0.2397019085424772,0.42999351215836756,,1061,1084
A4::A4::cl0::sl3.0::sl_partial_close_1r_runner_trail::exp2::et0.3,A4,6+8,-1.0,0.32115224548979815,0.25692179639183854,True,,-0.17220408356934103,-0.32115224548979815,,0.17384457781006726,0.32115224548979815,,939,971
A4::A4::cl0::sl3.5::sl_partial_close_1r_runner_trail::expU::et0.3,A4,6+8,-1.0,0.3000493806367488,0.24003950450939904,True,,-0.18020266601861556,-0.3000493806367488,,0.1818060406919593,0.3000493806367488,,1061,1084
A4::A4::cl0::sl2.5::sl_partial_close_1r_runner_trail::expU::et0.4,A4,6+8,-1.0,0.42913135843797723,0.3433050867503818,True,,-0.24457116830344772,-0.42913135843797723,,0.24653964915748558,0.42913135843797723,,1061,1084
