trade_id,pair,signal_time,entry_time,entry_price,initial_sl_price,exit_time,exit_price,exit_reason,bars_held,final_r,mfe_r,mae_r,time_to_peak_mfe,spread_pips_entry,spread_pips_exit,calendar_year
73,EUR_CAD,2021-04-28 20:00:00,2021-04-28 21:00:00,1.49158,1.488128258,2021-04-29 23:00:00,1.488108258,stoploss,27,-1.005794175,0.7966990938,-1.013980665,0,0.2,0.4,2021
74,CAD_JPY,2021-04-30 18:00:00,2021-04-30 19:00:00,88.945,88.67329345,2021-05-03 17:00:00,88.67279345,stoploss,23,-1.001840221,0.8538623715,-1.100451936,15,0.2,0.1,2021
75,AUD_CAD,2021-05-03 00:00:00,2021-05-03 01:00:00,0.94728,0.9445179751,2021-05-07 00:00:00,0.9444179751,stoploss,96,-1.036205322,2.175939853,-1.010128484,20,1,2,2021
76,EUR_CAD,2021-05-03 00:00:00,2021-05-03 01:00:00,1.4773,1.473509066,2021-05-05 11:00:00,1.473494066,stoploss,59,-1.003956809,1.777926007,-1.38752089,11,1,0.3,2021
77,NZD_CAD,2021-05-03 00:00:00,2021-05-03 01:00:00,0.879795,0.8766264708,2021-05-06 22:00:00,0.8764564708,stoploss,94,-1.053652653,2.01828656,-1.005198232,76,2.3,3.4,2021
78,CAD_JPY,2021-05-03 18:00:00,2021-05-03 19:00:00,88.862,88.59111811,2021-05-04 14:00:00,88.59061811,stoploss,20,-1.001845823,0.35070636,-1.376983919,15,0.2,0.1,2021
79,CAD_JPY,2021-05-04 15:00:00,2021-05-04 16:00:00,88.5695,88.33416043,2021-05-11 16:00:00,89.6815,time_exit,120,4.725087251,6.562857248,-0.291068774,100,0.1,0.1,2021
80,EUR_CAD,2021-05-05 12:00:00,2021-05-05 13:00:00,1.47463,1.471672903,2021-05-05 17:00:00,1.471662903,stoploss,5,-1.003381695,0.3077342608,-1.227555348,0,0.2,0.2,2021
81,EUR_CAD,2021-05-05 18:00:00,2021-05-05 19:00:00,1.47178,1.468529472,2021-05-06 22:00:00,1.468519472,stoploss,28,-1.003076423,1.556670013,-1.510523669,20,0.2,0.2,2021
82,EUR_CAD,2021-05-06 23:00:00,2021-05-07 00:00:00,1.46568,1.4619655,2021-05-12 15:00:00,1.4619555,stoploss,88,-1.002692152,3.491721638,-1.192623505,15,4,0.2,2021
83,AUD_CAD,2021-05-11 00:00:00,2021-05-11 01:00:00,0.94761,0.9447313822,2021-05-12 06:00:00,0.9447213822,stoploss,30,-1.003473889,0.9066851533,-1.135961859,12,0.8,0.2,2021
84,USD_JPY,2021-05-13 00:00:00,2021-05-13 01:00:00,109.6595,109.3932496,2021-05-14 09:00:00,109.3927496,stoploss,33,-1.001877932,0.471360834,-1.181218982,2,0.1,0.1,2021
85,AUD_CAD,2021-05-14 00:00:00,2021-05-14 01:00:00,0.93964,0.9368105701,2021-05-17 17:00:00,0.9368005701,stoploss,41,-1.003534281,1.24053261,-1.152175586,20,0.6,0.2,2021
86,USD_JPY,2021-05-14 10:00:00,2021-05-14 11:00:00,109.3835,109.188489,2021-05-14 15:00:00,109.187989,stoploss,5,-1.002563957,0.1666572362,-1.012763205,4,0.1,0.1,2021
87,USD_JPY,2021-05-14 16:00:00,2021-05-14 17:00:00,109.2825,109.0592619,2021-05-18 09:00:00,109.0587619,stoploss,41,-1.002239761,0.978775399,-1.108681516,10,0.1,0.1,2021
88,NZD_CAD,2021-05-18 00:00:00,2021-05-18 01:00:00,0.870155,0.8669393731,2021-05-19 15:00:00,0.8667693731,stoploss,39,-1.052866829,1.344994329,-1.236150858,21,1.9,3.4,2021
89,NZD_CAD,2021-05-19 16:00:00,2021-05-19 17:00:00,0.86895,0.8666145744,2021-05-21 00:00:00,0.8661795744,stoploss,32,-1.186261557,0.9377305982,-1.776978074,18,3.4,8.7,2021
90,EUR_NZD,2021-05-20 00:00:00,2021-05-20 01:00:00,1.697405,1.691639358,2021-05-21 14:00:00,1.691609358,stoploss,38,-1.005203237,1.076202848,-1.218424659,33,2.3,0.6,2021
91,NZD_CAD,2021-05-21 01:00:00,2021-05-21 02:00:00,0.868255,0.8655578436,2021-05-21 17:00:00,0.8653878436,stoploss,16,-1.063029344,0.2725092206,-1.8445352,11,1.7,3.4,2021
92,EUR_NZD,2021-05-21 15:00:00,2021-05-21 16:00:00,1.69186,1.686953648,2021-05-26 05:00:00,1.686923648,stoploss,62,-1.006114522,2.239953318,-2.700580661,21,0.6,0.6,2021
93,NZD_CAD,2021-05-21 18:00:00,2021-05-21 19:00:00,0.864905,0.8622872524,2021-05-28 19:00:00,0.87601,time_exit,120,4.242196647,7.695547181,-0.6818839274,68,3.5,3.4,2021
94,NZD_CAD,2021-05-28 20:00:00,2021-05-28 21:00:00,0.87655,0.8736463287,2021-05-31 03:00:00,0.8734963287,stoploss,7,-1.05165874,0,-1.067613969,0,2.6,3,2021
95,EUR_NZD,2021-05-31 00:00:00,2021-05-31 01:00:00,1.680075,1.674973384,2021-06-07 01:00:00,1.686575,time_exit,120,1.274106184,4.103601993,-0.4674989612,91,2.5,2.5,2021
96,NZD_CAD,2021-05-31 04:00:00,2021-05-31 05:00:00,0.87573,0.8730637879,2021-06-01 15:00:00,0.8728787879,stoploss,35,-1.069386828,1.410240404,-1.25646419,13,3,3.7,2021
97,NZD_CAD,2021-06-01 16:00:00,2021-06-01 17:00:00,0.871465,0.8689323235,2021-06-03 09:00:00,0.8687573235,stoploss,41,-1.069096861,2.047241294,-1.079885234,12,3.5,3.5,2021
98,CHF_JPY,2021-06-23 00:00:00,2021-06-23 01:00:00,120.4465,120.1413499,2021-06-29 03:00:00,120.1403499,stoploss,99,-1.003277076,1.767982628,-1.191217211,12,0.9,0.2,2021
99,EUR_JPY,2021-06-23 00:00:00,2021-06-23 01:00:00,132.092,131.7619292,2021-06-29 03:00:00,131.7609292,stoploss,99,-1.003029653,1.817791813,-1.130060577,12,0.4,0.2,2021
