trade_id,pair,signal_bar_time,native_prob,onnx_prob,abs_diff,native_admit,onnx_admit
235,GBP_CAD,2021-04-13 08:00:00,0.07190135158,0.08282274008,0.0109213885,0,0
236,GBP_NZD,2021-04-19 00:00:00,0.0003494879524,0.000349521637,3.368457284e-08,0,0
237,AUD_JPY,2021-04-20 00:00:00,0.02626803485,0.02626806498,3.01210519e-08,0,0
238,USD_CHF,2021-04-20 12:00:00,0.003915339738,0.003915309906,2.983187561e-08,0,0
239,EUR_GBP,2021-04-21 04:00:00,0.01856830943,0.01856827736,3.207584333e-08,0,0
240,EUR_CHF,2021-04-21 08:00:00,0.02100338951,0.02639758587,0.005394196354,0,0
241,USD_JPY,2021-04-21 08:00:00,0.01053286422,0.01035326719,0.0001795970292,0,0
242,CAD_CHF,2021-04-21 16:00:00,0.008791280732,0.008791327477,4.674489235e-08,0,0
243,GBP_CAD,2021-04-22 00:00:00,0.0006239660534,0.0006238818169,8.423657809e-08,0,0
244,EUR_JPY,2021-04-23 16:00:00,0.9758870278,0.9758870602,3.231911949e-08,1,1
245,AUD_CHF,2021-04-26 00:00:00,0.05084622989,0.05084627867,4.878076543e-08,0,0
246,NZD_CHF,2021-04-26 00:00:00,0.02885892521,0.02885890007,2.514164512e-08,0,0
247,GBP_CHF,2021-04-26 08:00:00,0.01072040077,0.01111912727,0.000398726504,0,0
248,GBP_NZD,2021-04-28 00:00:00,0.001787774791,0.001787781715,6.924230245e-09,0,0
249,EUR_NZD,2021-04-29 04:00:00,0.001679930142,0.001679956913,2.677061383e-08,0,0
250,AUD_JPY,2021-04-30 00:00:00,0.03059355027,0.03059351444,3.582327103e-08,0,0
251,CAD_JPY,2021-04-30 00:00:00,0.9691064304,0.9691063762,5.42094255e-08,1,1
252,USD_JPY,2021-04-30 12:00:00,0.09358460958,0.09358459711,1.246490358e-08,0,0
253,AUD_NZD,2021-05-03 08:00:00,0.02419968414,0.02487325668,0.0006735725451,0,0
254,GBP_AUD,2021-05-03 08:00:00,0.06129472149,0.07605433464,0.01475961315,0,0
255,GBP_NZD,2021-05-03 08:00:00,0.0002115704783,0.0002730488777,6.147839946e-05,0,0
