pair,bar_time,swing_low_N,low,close,sweep_atr,reclaim_ratio,fired_signal
CAD_CHF,2024-08-23 00:00:00,0.62525,0.62377,0.62613,0.8512761187,0.5945945946,1
NZD_CHF,2024-08-23 00:00:00,0.52236,0.52147,0.5234,0.5322201869,1.168539326,1
EUR_GBP,2024-08-23 12:00:00,0.84709,0.84657,0.84718,0.4135947439,0.1730769231,0
AUD_NZD,2024-08-26 00:00:00,1.08978,1.08908,1.09031,0.3386221373,0.7571428571,1
EUR_CHF,2024-08-27 00:00:00,0.94522,0.94316,0.94603,1.038846454,0.3932038835,0
EUR_AUD,2024-08-27 08:00:00,1.64556,1.64466,1.64779,0.2551158711,2.477777778,1
EUR_NZD,2024-08-27 08:00:00,1.79443,1.79322,1.79575,0.3027049883,1.090909091,1
GBP_CHF,2024-08-28 12:00:00,1.11427,1.11311,1.11554,0.4507546002,1.094827586,1
CAD_CHF,2024-08-29 00:00:00,0.62421,0.62328,0.62494,0.561993946,0.7849462366,1
EUR_CAD,2024-08-29 12:00:00,1.49164,1.49082,1.4932,0.3159967357,1.902439024,1
EUR_USD,2024-09-03 20:00:00,1.10332,1.10264,1.10433,0.3355219607,1.485294118,1
NZD_CAD,2024-09-04 04:00:00,0.8363,0.83571,0.83701,0.2865838007,1.203389831,1
AUD_JPY,2024-09-05 00:00:00,96.592,96.177,96.618,0.8589445434,0.06265060241,0
CAD_JPY,2024-09-05 00:00:00,106.38,106.007,106.404,0.8631259899,0.06434316354,0
NZD_CHF,2024-09-05 00:00:00,0.5235,0.52284,0.52374,0.3532870723,0.3636363636,0
USD_CHF,2024-09-05 00:00:00,0.8463,0.84555,0.84687,0.3288370609,0.76,1
USD_JPY,2024-09-05 00:00:00,143.709,143.185,143.724,0.8941360071,0.0286259542,0
CHF_JPY,2024-09-05 08:00:00,169.318,169.122,169.675,0.3514116502,1.821428571,1
EUR_JPY,2024-09-05 08:00:00,158.704,158.543,159.356,0.2531612717,4.049689441,1
CAD_CHF,2024-09-06 12:00:00,0.62251,0.62183,0.62499,0.3357296514,3.647058824,1
EUR_CHF,2024-09-09 00:00:00,0.93363,0.93212,0.93591,0.5891353432,1.509933775,1
GBP_CAD,2024-09-10 00:00:00,1.77202,1.77071,1.77244,0.3631750901,0.320610687,0
NZD_CAD,2024-09-10 00:00:00,0.83106,0.83021,0.83203,0.3251631494,1.141176471,1
CHF_JPY,2024-09-11 00:00:00,167.991,167.791,168.087,0.3561985267,0.48,0
AUD_USD,2024-09-11 16:00:00,0.66361,0.66221,0.66573,0.6171858447,1.514285714,1
EUR_CAD,2024-09-12 00:00:00,1.49417,1.49257,1.49451,0.5467261857,0.2125,0
USD_CHF,2024-09-18 12:00:00,0.84298,0.84235,0.84453,0.2850322687,2.46031746,1
EUR_GBP,2024-09-18 16:00:00,0.84133,0.84035,0.84206,0.7351293344,0.7448979592,1
GBP_NZD,2024-09-18 20:00:00,2.12115,2.11902,2.12744,0.4104000587,2.953051643,1
USD_CAD,2024-09-18 20:00:00,1.3566,1.35395,1.36041,1.170141805,1.437735849,1
AUD_NZD,2024-09-19 00:00:00,1.08578,1.08483,1.09018,0.3880238757,4.631578947,1
EUR_AUD,2024-09-23 16:00:00,1.62615,1.62464,1.62668,0.3429669302,0.3509933775,0
EUR_CAD,2024-09-23 20:00:00,1.50144,1.50035,1.50386,0.3413717041,2.220183486,1
AUD_NZD,2024-09-25 04:00:00,1.08555,1.08473,1.08762,0.3390569447,2.524390244,1
GBP_CAD,2024-09-26 00:00:00,1.79459,1.79301,1.79554,0.3815999555,0.6012658228,1
NZD_CAD,2024-09-26 00:00:00,0.84345,0.8427,0.84359,0.2967905969,0.1866666667,0
EUR_CHF,2024-09-30 00:00:00,0.9376,0.93615,0.93962,0.4770863301,1.393103448,1
CHF_JPY,2024-09-30 08:00:00,168.67,168.294,169.001,0.4379195174,0.8803191489,1
EUR_JPY,2024-09-30 08:00:00,158.488,158.098,159.715,0.3807175799,3.146153846,1
GBP_JPY,2024-09-30 08:00:00,190,189.558,191.241,0.3779017059,2.807692308,1
