trade_id,pair,signal_bar_time,entry_time,y,body_to_range_ratio,upper_wick_ratio,lower_wick_ratio,range_to_atr_14,ret_5bar_atr,ret_20bar_atr,pos_in_20bar_range,rsi_14,n_swing_lows,most_recent_sl_lag,swing_low_dist_atr,mother_bar_range_atr,inside_bar_range_atr,ib_range_ratio,break_bar_body_atr,break_close_above_high_atr,d1_trend_state,d1_atr_ratio_to_4h,d1_pos_in_20d_range,d1_ret_5d_atr,d1_rsi_14,d1_close_above_kijun,d1_bars_since_swing_high,d1_bars_since_swing_low,session_london,session_ny_overlap,hour_sin,hour_cos
288,EUR_AUD,2021-05-24 00:00:00,2021-05-24 04:00:00,0,0.828125,0.171875,0,0.7673395788,-0.1414782348,2.285233183,0.7674418605,58.54077558,2,8,3.824708213,1.829625308,0.3333131296,0.1821756225,0.6354530887,0.1390802987,1,2.411972362,0.8880952381,1.519107991,64.87871734,1,28,9,0,0,0,1
289,NZD_CAD,2021-05-24 08:00:00,2021-05-24 12:00:00,0,0.3786982249,0.550295858,0.07100591716,0.7245888313,-0.9818393039,-3.545769015,0.2202925046,38.40126569,3,8,0.312988075,1.466327694,0.385875709,0.2631578947,0.2744005041,0.1157627127,0,3.183876053,0.01780334155,-1.871817825,36.34795931,0,22,42,1,0,0.8660254038,-0.5
290,USD_CHF,2021-05-24 08:00:00,2021-05-24 12:00:00,0,0.1951219512,0.4359756098,0.368902439,1.442827747,0.4354876433,0.523464945,0.3663471778,46.67221069,3,6,1.513209589,0.8137900405,0.3123194209,0.3837837838,0.2815273654,0.2771285003,1,2.545312524,0.100877193,-0.6722783554,37.31288303,0,36,68,1,0,0.8660254038,-0.5
291,AUD_CHF,2021-05-27 08:00:00,2021-05-27 12:00:00,0,0.7324840764,0.1974522293,0.07006369427,0.8745338459,-0.2005300538,1.058353062,0.6461538462,49.49028922,4,4,1.871613836,0.9915097106,0.5068954138,0.5112359551,0.6405821164,0.4177709455,1,2.697421321,0.1538034425,-0.6690725213,37.05991119,0,49,31,1,0,0.8660254038,-0.5
292,EUR_CHF,2021-05-27 08:00:00,2021-05-27 12:00:00,0,0.3595041322,0.541322314,0.09917355372,1.539647619,-0.7952725306,0.7380129084,0.3280701754,44.33156939,2,11,1.189727706,0.9161539552,0.5853205825,0.6388888889,0.5535096813,0.04453526171,0,2.655121959,0.1360485269,-1.373017638,43.30192682,0,5,11,1,0,0.8660254038,-0.5
293,AUD_CAD,2021-05-28 00:00:00,2021-05-28 04:00:00,0,0.5763546798,0.05911330049,0.3645320197,0.9131604123,-1.601404467,0.3913544624,0.2941874259,45.68913616,2,13,1.821822497,1.551922868,0.7332273261,0.4724637681,0.526304277,0.116956506,0,2.908169537,0.1249494541,-0.5088938644,38.09356889,0,26,40,0,0,0,1
294,AUD_JPY,2021-05-28 00:00:00,2021-05-28 04:00:00,0,0.2909698997,0.09030100334,0.618729097,1.288118943,2.71840486,3.580022883,1.011655012,67.23348344,4,5,4.764747663,1.92140819,0.6375973365,0.331838565,0.3748038397,0.05169708134,1,2.675634718,0.5691404164,0.7422648269,57.96860795,1,13,3,0,0,0,1
295,USD_JPY,2021-05-28 00:00:00,2021-05-28 04:00:00,0,0.5152838428,0.135371179,0.3493449782,1.098836206,3.987479855,5.450995326,1.002197802,75.13361083,4,4,6.564226766,2.778280188,0.609398245,0.219343696,0.5662125426,0.2063316893,1,2.749712317,0.927444795,1.816606855,60.24146323,1,41,24,0,0,0,1
296,AUD_NZD,2021-05-31 00:00:00,2021-05-31 04:00:00,0,0.973880597,0.02611940299,0,2.243151567,0.008369968532,-3.05085353,0.3903541824,44.71968316,2,9,2.16782185,1.042061082,0.9039566015,0.8674698795,2.184561787,0.3892035367,1,2.200829042,0.1463414634,-3.012053618,32.29621755,0,44,20,0,0,0,1
297,NZD_CHF,2021-05-31 08:00:00,2021-05-31 12:00:00,0,0.3670212766,0.414893617,0.2180851064,0.9233399131,0.8349350278,3.049968543,0.6830926083,56.29578123,3,5,3.948751543,0.9429854432,0.7170618474,0.7604166667,0.3388853937,0.2308349783,0,2.735259001,0.5748534896,1.696825228,50.22584582,1,1,4,1,0,0.8660254038,-0.5
298,EUR_USD,2021-05-31 16:00:00,2021-05-31 20:00:00,0,0.7872340426,0.08510638298,0.1276595745,1.408984014,1.446456993,-0.4759068345,0.7329240215,57.68217838,2,6,3.578669504,0.7719433694,0.6332933467,0.8203883495,1.109200181,0.9855393503,0,2.491754759,0.7261055635,0.1353491192,56.6577369,1,3,17,0,0,-0.8660254038,-0.5
299,GBP_CHF,2021-06-01 00:00:00,2021-06-01 04:00:00,0,0.6053811659,0.05381165919,0.3408071749,0.800115431,0.7283561996,3.910878116,0.9602996255,67.59190616,3,16,4.890391626,1.273726359,0.4807868509,0.3774647887,0.4843748125,0.2978008107,0,2.663848726,0.7841817417,1.016916224,55.53169091,1,13,16,0,0,0,1
300,NZD_JPY,2021-06-02 00:00:00,2021-06-02 04:00:00,0,0.5858208955,0.08582089552,0.328358209,1.202304973,-0.6415283997,-2.104033703,0.2929292929,52.82543079,4,6,4.777816404,1.17987391,0.4306764082,0.3650190114,0.7043353759,0.4800247466,0,3.060214266,0.6458333333,1.169851955,57.31253769,1,3,9,0,0,0,1
301,USD_CHF,2021-06-02 04:00:00,2021-06-02 08:00:00,0,0.5903614458,0.04819277108,0.3614457831,0.4518252283,-0.7185654232,0.5062620027,0.3345410628,46.77654333,2,19,0.7621148428,0.7784458752,0.4681562606,0.6013986014,0.266740195,0.0217747098,0,2.940006089,0.1695931478,0.4184586922,40.24889748,0,43,5,0,0,0.8660254038,0.5
302,EUR_CAD,2021-06-03 08:00:00,2021-06-03 12:00:00,0,0.4,0.1,0.5,0.651286907,0.007662198906,-0.9616059627,0.2002141328,43.22562675,4,11,0.8773217747,0.7317399955,0.3677855475,0.502617801,0.2605147628,0.08428418796,0,3.29080009,0.4623430962,-1.024482626,42.71159909,0,5,15,1,0,0.8660254038,-0.5
303,AUD_CHF,2021-06-07 08:00:00,2021-06-07 12:00:00,0,0.6818181818,0.1262626263,0.1919191919,1.107167806,1.800545625,0.4641157976,0.9868804665,60.48453653,3,8,3.785619217,1.783770355,0.514441607,0.2884012539,0.7548871407,0.5032580938,1,2.606437337,0.3002557545,0.5105966107,44.555813,0,56,38,1,0,0.8660254038,-0.5
304,AUD_USD,2021-06-07 08:00:00,2021-06-07 12:00:00,0,0.4428571429,0.1285714286,0.4285714286,1.147155586,1.47081734,-0.4096984234,0.8298368298,58.80660683,3,8,4.375579162,1.114379712,0.508026045,0.4558823529,0.508026045,0.3359527072,1,2.776327281,0.3996757195,0.5120626587,50.40092401,0,19,23,1,0,0.8660254038,-0.5
305,NZD_CHF,2021-06-07 08:00:00,2021-06-07 12:00:00,0,0.522875817,0.05882352941,0.4183006536,0.8195605137,1.360577585,-1.055251119,0.5762925599,50.67717654,3,9,2.447968332,1.960517307,0.4928076292,0.2513661202,0.4285283732,0.2356906052,1,2.85425825,0.4178638351,-0.7694496153,45.27652501,0,6,9,1,0,0.8660254038,-0.5
306,USD_JPY,2021-06-08 08:00:00,2021-06-08 12:00:00,1,0.4625,0.3875,0.15,0.8221559774,1.043110396,-0.6371708825,0.2624671916,46.55461711,3,4,1.541542458,1.243510916,0.4778781618,0.3842975207,0.3802471395,0.2826161172,0,3.01418939,0.4492680464,-0.5421142447,49.78069525,0,48,31,1,0,0.8660254038,-0.5
307,EUR_AUD,2021-06-10 00:00:00,2021-06-10 04:00:00,0,0.4155844156,0.1785714286,0.4058441558,1.094985034,0.8212387758,1.734911353,0.8972407231,55.97295957,3,4,3.352502881,1.329624685,0.6221505877,0.4679144385,0.4550587156,0.1066543865,1,3.137609821,0.6377277599,0.06231910689,55.42113309,1,4,22,0,0,0,1
308,GBP_CHF,2021-06-11 08:00:00,2021-06-11 12:00:00,0,0.1369426752,0.2515923567,0.6114649682,1.120259196,0.1391404733,-1.576925364,0.5590753425,48.09675305,4,6,2.329711002,1.230858033,0.4423953511,0.3594202899,0.1534112911,0.02854163555,1,2.714969304,0.3424437299,-0.8186758744,45.9960284,0,7,0,1,0,0.8660254038,-0.5
309,NZD_CHF,2021-06-11 08:00:00,2021-06-11 12:00:00,0,0.6693548387,0.1129032258,0.2177419355,1.439281707,-0.1160711054,-2.530350098,0.452173913,46.88816984,3,8,2.112494118,1.172318164,0.6209804139,0.5297029703,0.9633901748,0.7080337429,1,3.014014291,0.1525,-0.3504452723,39.3094816,0,10,13,1,0,0.8660254038,-0.5
310,NZD_JPY,2021-06-11 08:00:00,2021-06-11 12:00:00,0,0.6052631579,0.1535087719,0.2412280702,1.112237958,-0.3951371694,-1.082968538,0.6018808777,50.71975296,3,6,1.629331044,1.346393318,0.5902666358,0.4384057971,0.673196659,0.5366060326,0,2.944503166,0.3098404255,-0.2418820806,47.79841472,0,10,16,1,0,0.8660254038,-0.5
311,NZD_USD,2021-06-11 08:00:00,2021-06-11 12:00:00,0,0.1391304348,0.552173913,0.3086956522,1.096723403,-0.03814690097,-1.487729138,0.4823529412,49.77321894,2,8,1.56402294,0.8726103596,0.4816046247,0.5519125683,0.1525876039,0.07629380193,1,3.151513669,0.3500784929,0.7323108039,48.34993254,0,11,27,1,0,0.8660254038,-0.5
312,EUR_CHF,2021-06-14 16:00:00,2021-06-14 20:00:00,0,0.7364864865,0.1554054054,0.1081081081,1.12471458,2.226630892,-1.557881682,0.5659050967,50.31022291,2,4,2.447014154,1.557881682,0.8359365122,0.5365853659,0.8283370893,0.6231526727,0,2.821568291,0.005128205128,-1.750666415,32.8894378,0,17,23,0,0,-0.8660254038,-0.5
313,EUR_AUD,2021-06-15 16:00:00,2021-06-15 20:00:00,0,0.6030368764,0.3297180043,0.06724511931,1.368304966,2.009419657,1.691830435,0.9776674938,61.33222548,3,7,3.508322059,1.917407826,1.228803158,0.6408668731,0.8251383524,0.09201183066,0,2.462751799,0.4234051199,-0.08798004764,51.28419114,1,7,1,0,0,-0.8660254038,-0.5
314,AUD_JPY,2021-06-16 00:00:00,2021-06-16 04:00:00,0,0.354978355,0.1774891775,0.4675324675,1.243324976,-1.211030821,-1.189501384,0.4105263158,47.67789163,2,14,1.469384063,1.167971947,0.3767651443,0.3225806452,0.4413534547,0.1991472905,0,2.749667984,0.4950819672,-0.3112357994,49.48103618,0,9,16,0,0,0,1
315,GBP_CHF,2021-06-16 20:00:00,2021-06-17 00:00:00,0,0.6463414634,0.2926829268,0.06097560976,1.463632398,1.795627063,0.4248103788,0.9558323896,57.32429005,3,5,3.159304078,1.310129488,0.8067827363,0.6158038147,0.9460063058,0.2070504367,0,2.609152525,0.1430868167,-0.677257602,42.23216543,0,10,3,0,0,-0.8660254038,0.5
316,AUD_CHF,2021-06-17 04:00:00,2021-06-17 08:00:00,0,0.5450643777,0.4206008584,0.03433476395,1.333139651,0.6179359756,0.7438118225,0.7329434698,52.44131413,2,7,2.151332656,2.054064956,1.098552846,0.5348189415,0.7266469343,0.4577303523,1,2.487886414,0.170794193,-0.197782393,40.22221429,0,7,46,0,0,0.8660254038,0.5
317,CAD_CHF,2021-06-17 08:00:00,2021-06-17 12:00:00,0,0.6452830189,0.320754717,0.03396226415,1.552969713,2.385127069,1.881144445,1.103130755,61.49914298,3,8,3.510297579,1.002104985,0.6446289377,0.6432748538,1.002104985,0.9845241957,1,2.593993658,0.3268744735,0.1174766479,47.00082585,0,9,0,1,0,0.8660254038,-0.5
318,USD_CAD,2021-06-17 08:00:00,2021-06-17 12:00:00,0,0.7582608696,0.1217391304,0.12,1.893117671,4.345939696,4.846381237,1.127439024,74.74425508,5,4,7.980725624,0.8955269677,0.6716452258,0.75,1.435477051,0.7802937182,1,2.397372272,0.9707686756,2.298951135,62.75719174,1,40,11,1,0,0.8660254038,-0.5
319,USD_CHF,2021-06-18 08:00:00,2021-06-18 12:00:00,0,0.4285714286,0.3761904762,0.1952380952,0.8666280692,1.448506916,7.911076232,0.9905617978,80.89926624,3,14,10.43255123,0.7304436583,0.6396540511,0.8757062147,0.3714120297,0.08253600659,1,2.492642928,0.9560565533,3.842629626,67.17052535,1,55,6,1,0,0.8660254038,-0.5
320,EUR_GBP,2021-06-18 16:00:00,2021-06-18 20:00:00,0,0.2848484848,0.2272727273,0.4878787879,1.718804225,2.468827886,-0.937529577,0.5914351852,54.96666741,3,4,2.661542299,1.536506807,1.010448544,0.6576271186,0.4895987791,0.3229268543,0,2.236075027,0.02854938272,-0.9037698037,39.38153507,0,17,26,0,0,-0.8660254038,-0.5
321,NZD_CHF,2021-06-21 00:00:00,2021-06-21 04:00:00,1,0.7473404255,0.005319148936,0.2473404255,1.636226651,-0.1000883324,0.7397833263,0.4953145917,48.46859902,4,8,1.610116651,1.127081656,0.4830349954,0.4285714286,1.222818322,0.4351666625,0,2.220842388,0.1089776855,-0.0489866666,39.31144673,0,16,19,0,0,0,1
322,AUD_CHF,2021-06-23 08:00:00,2021-06-23 12:00:00,0,0.4155844156,0.2251082251,0.3593073593,1.098846981,1.898008421,0.7325646538,1.062305296,62.12639541,4,6,3.244214895,1.279609687,0.4233652869,0.3308550186,0.4566636803,0.3662823269,1,2.122434103,0.5125968992,0.7485787438,46.24965126,0,11,1,1,0,0.8660254038,-0.5
323,AUD_JPY,2021-06-23 08:00:00,2021-06-23 12:00:00,0,0.7067307692,0.1947115385,0.09855769231,1.309873945,2.51583962,1.873497589,1.116783663,59.94875743,2,5,5.510287027,0.8816459243,0.3841457242,0.4357142857,0.9257282206,0.7210604167,1,2.12020719,0.471741261,-1.486592534,43.25318559,0,14,1,1,0,0.8660254038,-0.5
324,AUD_USD,2021-06-23 08:00:00,2021-06-23 12:00:00,0,0.5630498534,0.2727272727,0.1642228739,1.214906443,2.066409786,0.4774119161,0.9931428571,51.98513617,2,5,3.096051904,1.022516567,0.5308535486,0.5191637631,0.6840528948,0.3847797533,1,2.401723693,0.240839336,-1.967020735,37.67030203,0,7,35,1,0,0.8660254038,-0.5
325,CAD_CHF,2021-06-23 08:00:00,2021-06-23 12:00:00,0,0.4971751412,0.2655367232,0.2372881356,0.9178946808,2.468462531,1.747629985,1.058070866,69.06477921,2,4,5.574784078,1.083841742,0.269663974,0.2488038278,0.4563544176,0.3733808871,1,2.450241909,0.7961246841,1.837089641,56.98720064,1,13,4,1,0,0.8660254038,-0.5
326,CAD_JPY,2021-06-23 08:00:00,2021-06-23 12:00:00,0,0.8005249344,0.1417322835,0.05774278215,1.235167056,2.992281347,2.762105858,1.112493778,64.62757861,1,13,7.245665016,0.7164617309,0.330674645,0.4615384615,0.9887820268,0.7650903551,1,2.268104604,0.5887647424,-0.5774561475,50.01768825,1,15,1,1,0,0.8660254038,-0.5
