trade_id,pair,fold,segment,cluster,archetype,realized_r_3p5,outcome,terminal_mae_r_dep,terminal_mae_r_held,bars_to_mae_trough,dip_first1_r,dip_first2_r,dip_first3_r,dep_exit_offset,terminal_mfe_r_dep,terminal_mfe_r_held,terminal_mfe_r_full,exit_reason_deployed,partial_fired,partial_contrib_r,runner_contrib_r,runner_exit_r,runner_peak_mfe_r,give_back_r,gap_open_r
2684,NZDCHF,12,holdout,0,v_shape_recovery,0.8349108277390345,win,-0.2776594435339276,-2.7697555327891945,0,-0.2776594435339276,-0.2776594435339276,-0.2776594435339276,89,3.099390635703895,3.099390635703895,4.67370600273617,partial_then_trail,True,0.5,0.3349108277390344,0.6698216554780688,1.7710803632593684,1.1012587077812994,0.13130692896183838
2685,AUDUSD,12,holdout,0,v_shape_recovery,0.4434627469630848,win,-0.87344654293652,-1.2944150066317357,12,-0.12855923142788678,-0.12855923142788678,-0.1449442315118282,55,3.253052708974192,3.253052708974192,5.0112892564438,partial_then_trail,True,0.5,-0.05653725303691521,-0.11307450607383042,1.858887262270967,1.9719617683447974,0.012603846218418627
2686,EURUSD,12,holdout,0,v_shape_recovery,-0.048740976190614016,loss,-2.222652669616077,-1.1276878776760746,16,-0.5072078289100994,-0.7123564048712713,-0.9326079434798783,55,1.814872678134991,0.14725388581263293,2.0628129815972667,partial_then_trail,True,0.5,-0.548740976190614,-1.097481952381228,1.0370701017914234,2.1345520541726515,0.008810061544346517
2687,AUDJPY,12,holdout,0,v_shape_recovery,0.8926335348842821,win,-0.7274178267663769,-1.6179255102345302,14,-0.1760629134848542,-0.281700661575772,-0.31691324427272705,32,3.2432641957736954,4.000334723758558,11.69521068995986,partial_then_trail,True,0.5,0.3926335348842821,0.7852670697685642,1.8532938261563974,1.0680267563878332,0.004633234565360405
2688,EURGBP,12,holdout,1,monotonic_down,0.4093021590597563,win,-0.6416872246522694,-0.9976762503427309,3,-0.417210068325131,-0.5532568297354965,-0.5532568297354965,57,1.8162242648285962,1.8162242648285962,4.339891688991174,partial_then_trail,True,0.5,-0.09069784094024369,-0.18139568188048738,1.037842437044912,1.2192381189253994,0.0408140284231298
2689,AUDCAD,12,holdout,0,v_shape_recovery,0.9902882247212397,win,-1.1700059908120533,-0.8315635799104729,8,-0.4468497456434641,-0.8315635799104729,-0.8315635799104729,49,4.3045644136542665,0.017186528678590256,7.439122836496509,partial_then_trail,True,0.5,0.4902882247212396,0.9805764494424792,2.4597510935167235,1.4791746440742441,0.03701713869236631
2690,GBPJPY,12,holdout,0,v_shape_recovery,0.7236698959532152,win,-0.15190517188993258,-0.5703106453411251,0,-0.15190517188993258,-0.15190517188993258,-0.15190517188993258,49,3.4571751620036557,13.530220310265971,13.530220310265971,partial_then_trail,True,0.5,0.22366989595321518,0.44733979190643036,1.9755286640020888,1.5281888720956585,0.010660012062464032
2691,AUDUSD,12,holdout,0,v_shape_recovery,0.4281900351222506,win,-0.3747976237040286,-1.5300561814740663,3,-0.10288562219328194,-0.35569029386814266,-0.35569029386814266,35,3.772962745287123,3.772962745287123,5.82332621613855,partial_then_trail,True,0.5,-0.07180996487774939,-0.14361992975549878,2.1559787115926414,2.2995986413481404,0.010288562219328194
2692,EURUSD,12,holdout,0,v_shape_recovery,-1.0,loss,-2.299897751803543,-2.299897751803543,30,-0.16243258600214866,-0.16243258600214866,-0.16243258600214866,30,1.4323600765646403,1.4323600765646403,1.674778405673954,SL_no_partial,False,0.0,-1.0,-1.0,0.8184914723226515,,0.004922199575801159
2693,EURCAD,12,holdout,0,v_shape_recovery,0.5596806029837389,win,-0.48887302444129144,-1.1555180577703565,1,-0.4055423952751583,-0.48887302444129144,-0.48887302444129144,33,2.0877100293754034,2.0877100293754034,4.727624361358426,partial_then_trail,True,0.5,0.05968060298373886,0.11936120596747772,1.1929771596430876,1.0736159536756098,0.02111042605545921
