trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative,bars_held,final_r,mfe_r,mae_r,exit_reason
361,0,2,0.2445661986,0.6,5,-1.018716801,1.026928477,-6.382429111,stoploss
362,0,0,0,0,1,-1.011107797,1.250244225,-4.274033319,stoploss
363,0.5,10,0.251092212,0.32,50,-1.010516951,3.436413833,-2.337392423,stoploss
364,0,0,0,0,5,-1.007948689,2.056439511,-3.509914152,stoploss
365,0,0,0,0,5,-1.008569817,2.216466361,-3.467659675,stoploss
366,0.375,3,0.3665246666,0.1379310345,29,-1.017288899,2.320170295,-4.778651785,stoploss
367,0.4705882353,3,0,0.09375,32,-1.01074015,1.356838982,-3.984595743,stoploss
368,0.6,5,0.3831340621,0.4375,32,-1.025055089,1.379073831,-5.151952579,stoploss
369,0.4615384615,6,0.6100818289,0.375,40,-1.005755489,1.605781418,-2.382772426,stoploss
370,0.4657534247,12,0.378731979,0.1958333333,240,-0.7430513252,2.642316135,-0.925611349,time_exit
371,0.4482758621,9,0.9582516997,0.3490566038,106,-1.007172543,1.494757891,-2.544818137,stoploss
372,0.4933333333,9,0.7967176573,0.5315315315,111,-1.00906391,2.311296958,-4.432251814,stoploss
373,0.5272727273,13,0.3655261368,0.5479452055,73,-1.007848721,2.591199086,-2.905147915,stoploss
374,0.4166666667,7,0.8871497454,0.7215189873,79,-1.009437763,2.951922616,-1.805758702,stoploss
375,0.4834437086,13,0.8916017824,0.7305389222,167,-1.019157066,3.018834325,-2.947793539,stoploss
376,0.4789915966,13,0.397043368,0.3008130081,123,-1.005945741,3.527145659,-1.506915012,stoploss
377,0.4505494505,15,0.212724525,0.7226890756,119,-1.013747503,2.9774198,-1.921032702,stoploss
378,0.375,3,0.741312602,0.5625,16,-1.006993515,2.402971793,-3.307932649,stoploss
379,0.5,2,0.3597235672,0.45,20,-1.009917191,3.340290267,-3.237512105,stoploss
380,0,0,0,0,5,-1.006951334,0.9029010773,-5.47687899,stoploss
381,0.5238095238,9,0.4215961948,0.3793103448,29,-1.012679585,1.290147754,-3.45518686,stoploss
382,0.5454545455,9,0.3612091228,0.5555555556,27,-1.010623798,2.15840157,-4.554067955,stoploss
383,0,1,0,0.3333333333,3,-1.019669426,4.925224279,-4.590844037,stoploss
384,0.527027027,6,0.2787502882,0.3333333333,78,-1.010186888,3.718213978,-3.03847075,stoploss
385,0.5,7,0.2368935501,0.2580645161,31,-1.013160753,3.122388598,-2.250488726,stoploss
386,0.5090909091,13,0.4425517863,0.671875,64,-1.009456235,4.020791015,-3.701170281,stoploss
387,0.4634146341,9,0.1978327315,0.1222222222,90,-1.025493909,6.598843335,-1.438876209,stoploss
388,0.4509803922,10,0.7213557643,0.6842105263,57,-1.008857028,2.910025914,-5.218758006,stoploss
389,0,1,0,0.3333333333,3,-1.019156516,7.206681406,-2.061241146,stoploss
390,0,1,0,1,1,-1.012345643,7.58159672,-1.052123156,stoploss
391,0.4418604651,14,0.4055458079,0.5714285714,49,-1.027968676,2.934380301,-4.356121353,stoploss
392,0.5357142857,19,0.232652965,0.5409836066,61,-1.024489786,3.655100526,-3.615916868,stoploss
393,0.4857142857,14,0.2083452835,0.5555555556,45,-1.00600996,4.727835278,-1.151909019,stoploss
394,0.5319148936,22,0.5870182563,0.2583333333,240,3.439278741,7.916643447,-0.3592335648,time_exit
395,0,2,0.4208115275,0.4285714286,14,-1.019359368,3.754698496,-2.680763024,stoploss
396,0.55,7,0.1673972685,0.4285714286,28,-1.012713717,1.487504841,-6.545445091,stoploss
397,0.6071428571,14,0.178841393,0.7419354839,31,-1.018629312,6.04707461,-2.965786438,stoploss
398,0,1,0,0.07142857143,14,-1.017636917,0.1704902003,-6.236119998,stoploss
399,0.4375,3,0.1661430736,0.2631578947,19,-1.011502213,4.042388783,-2.830822369,stoploss
400,0.4705882353,6,0.1837759128,0.3043478261,23,-1.021109395,3.125432246,-5.646142401,stoploss
401,0.5021276596,28,0.7330552928,0.8875,240,1.30564077,6.747026327,-0.7585845816,time_exit
402,0.4952830189,21,0.468925797,0.1711711712,222,-1.017225846,8.128685147,-3.004953068,stoploss
403,0,2,0,0.3333333333,6,-1.012095228,9.051262003,-4.529662744,stoploss
404,0,1,0.2207450756,0.3333333333,6,-1.029783066,1.664347792,-4.1889006,stoploss
405,0.5,4,0.1664063847,0.3448275862,29,-1.014843762,1.279688536,-3.654690458,stoploss
406,0.75,2,0.21198284,0.125,24,-1.00766203,10.05258384,-1.928277641,stoploss
407,0.46875,24,0.532264376,0.3609467456,169,-1.008624654,5.486512186,-3.998143284,stoploss
408,0.5564853556,40,0.335936804,1,240,8.023126686,8.132762966,-0.4891464763,time_exit
409,0.5083333333,22,0.296028179,0.25,240,4.016288738,5.770818322,-0.2986249169,time_exit
410,0.5523012552,33,0.4313834938,0.9833333333,240,6.013568464,6.460432226,-0.3343738085,time_exit
411,0.5708333333,39,0.3676456075,0.9958333333,240,9.244739437,9.773937734,-0.03095168356,time_exit
412,0.525,22,0.49625193,0.2333333333,240,5.247813931,6.616022693,-0.01406381988,time_exit
413,0.5327868852,16,0.583911011,0.4122137405,131,-1.008689152,7.352760379,-1.082668333,stoploss
414,0.5211864407,31,0.705538612,0.4875,240,2.855463138,4.626122809,-0.5745748997,time_exit
415,0.5655737705,16,0.659686547,0.7596899225,129,-1.014023452,8.797378785,-1.091492001,stoploss
416,0.5194805195,9,0.5046051189,0.5051546392,97,-1.009596294,9.449150693,-2.971652334,stoploss
417,0.5217391304,29,0.4538529225,0.3775510204,196,-1.024640001,4.905744728,-1.888536856,stoploss
418,0.5708333333,34,0.3449479575,1,240,4.443339534,4.782310671,-0.02988410525,time_exit
419,0.4929577465,8,0.521997357,0.6703296703,91,-1.007167012,11.65117213,-1.691414777,stoploss
420,0,1,0.7094739581,0.4666666667,15,-1.039286832,3.956415037,-3.764602859,stoploss
421,0.5306122449,20,0.750363859,0.3333333333,171,-1.022702091,4.737567997,-1.901001433,stoploss
422,0,0,0,0,5,-1.01359141,3.821904611,-3.427753709,stoploss
423,0.5078125,18,0.4369656741,0.5714285714,133,-1.012205745,2.953790309,-3.974190597,stoploss
424,0,1,0,0.07142857143,14,-1.009216518,4.168938464,-1.010744845,stoploss
425,0,1,0.4847313508,0.375,8,-1.017535501,2.586486407,-6.315285454,stoploss
426,0.4090909091,3,0.3923617158,0.4482758621,29,-1.023223902,5.533400269,-2.123153582,stoploss
427,1,1,1.053897125,0.8333333333,12,-1.044457199,4.793532084,-3.943615048,stoploss
428,0,0,0,0,2,-1.009465045,1.382948184,-9.163214847,stoploss
429,1,4,0.3712825449,0.7142857143,7,-1.015855482,2.347932677,-9.237139757,stoploss
430,0,2,0.5237482977,0.6666666667,6,-1.024570908,3.086881943,-7.694573757,stoploss
431,0.5052631579,19,0.7067394436,0.3565891473,129,-1.022016805,2.926033396,-6.248369284,stoploss
432,0.5032679739,17,0.645802181,0.6976744186,172,-1.025746266,3.190391505,-4.720148831,stoploss
433,0.5,1,0,0.125,8,-1.012437521,4.672361891,-3.099706513,stoploss
434,0.4545454545,3,1.44010009,0.7678571429,56,-1.017841948,1.344518225,-7.935843591,stoploss
435,0.4958677686,17,0.5086724691,0.5220588235,136,-1.0217186,3.527557843,-6.002335137,stoploss
436,0,0,0,0,3,-1.007286806,0,-7.386392296,stoploss
437,0.4,1,0.7123584783,0.4545454545,11,-1.02240121,4.128543005,-2.887515971,stoploss
438,0.5,3,0,0.375,8,-1.008246292,13.46069734,-1.874657052,stoploss
439,0,1,0,0.5,2,-1.011353031,11.90932928,-3.449429184,stoploss
440,0.5333333333,2,0.681385458,0.4285714286,21,-1.014948127,1.062562698,-9.859535466,stoploss
441,0.4913043478,38,0.398589048,0.4,240,2.470475621,7.480015237,-0.7816486511,time_exit
442,0.5462184874,23,0.608216003,0.4875,240,2.015477959,4.267968458,-0.243983497,time_exit
443,0.5672268908,42,0.5502009903,0.5083333333,240,6.04128879,9.469464191,-0.3262978578,time_exit
444,0.5738396624,33,0.4042588123,0.4833333333,240,4.584490016,9.284947037,-0.4584490016,time_exit
445,0.5434782609,42,0.711460183,0.6708333333,240,7.145693919,11.1108499,-0.7462101661,time_exit
446,0.5810810811,7,0.3116938015,0.2976190476,84,-1.010090807,2.629215699,-3.676417176,stoploss
447,0,0,0,0,1,-1.012625535,5.506536704,-4.415329791,stoploss
448,0.6,4,0.567123049,0.6666666667,12,-1.006493775,7.757896976,-1.796611186,stoploss
449,0,0,0,0,6,-1.015016058,0.1994990551,-4.933847598,stoploss
450,0.4,2,0,0.1538461538,13,-1.008057718,2.047811425,-9.599044112,stoploss
451,0.7142857143,4,0.1284082146,0.2083333333,24,-1.026288296,0.2851269017,-4.312291616,stoploss
452,0.5606694561,32,0.7392491612,0.9125,240,3.702144071,8.509229708,-0.231998407,time_exit
453,0,1,0,0.5,2,-1.014382395,0.05465309973,-10.91911403,stoploss
454,0,1,0,1,1,-1.012351486,7.132101019,-3.439006652,stoploss
455,0.5603448276,14,0.7607566035,0.4754098361,122,-1.006275719,3.361693479,-5.572141173,stoploss
456,0.5,4,0.3767548359,0.2962962963,27,-1.012935788,3.615552846,-3.314795767,stoploss
457,0,0,0,0,5,-1.020639738,3.435973264,-4.561382149,stoploss
458,0.5765765766,21,0.311397597,0.2554744526,137,-1.010685212,3.652815935,-5.658582813,stoploss
459,0,0,0,0,11,-1.008748243,1.890870339,-10.75409073,stoploss
460,0.4642857143,18,0.482849475,0.5568181818,176,-1.022034797,4.269002501,-3.282226788,stoploss
461,0.4891304348,18,0.347803483,0.4380952381,105,-1.020650832,3.174793671,-4.826860217,stoploss
462,0.5185185185,5,0.3551014064,1,43,-1.029997151,3.087274328,-3.242935218,stoploss
463,0,0,0,0,4,-1.020693119,3.626469071,-4.551451481,stoploss
464,0.4,5,0.6359471155,0.5,14,-1.01528719,1.167941337,-11.02817907,stoploss
465,0.5106382979,6,0.3369795662,0.6949152542,59,-1.011012404,1.640848215,-10.74810643,stoploss
466,0.5,2,0.0750473888,0.2727272727,11,-1.018761847,0.4558025232,-9.702082279,stoploss
467,1,1,0.04481802975,0.125,16,-1.008255953,0.8362100814,-11.09718005,stoploss
468,0,0,0,0,1,-1.023922425,0.3361730312,-12.65496306,stoploss
469,0,0,0,0,7,-1.011138148,4.382242337,-2.711520181,stoploss
470,0,1,0,0.25,4,-1.020389721,4.642739388,-3.415278206,stoploss
471,0.4545454545,4,0.3716668193,0.5333333333,15,-1.032427306,1.103775621,-4.814207793,stoploss
472,0.5714285714,7,0.8699237246,0.6470588235,51,-1.007183515,1.152235883,-7.821411653,stoploss
473,0.4642857143,3,0.9857633968,0.5384615385,39,-1.011722592,1.21168971,-9.790495488,stoploss
474,0.5384615385,4,0.3444912147,0.1935483871,31,-1.007111057,1.111695273,-10.38293361,stoploss
475,1,2,0,0.2857142857,7,-1.019379957,0.3043793206,-9.900877901,stoploss
476,0,0,0,0,1,-1.015843363,0.09732351324,-11.55433803,stoploss
477,0.5,4,0.8452077188,0.6,15,-1.008333034,2.124923631,-9.919881578,stoploss
478,0.6666666667,4,0.7143042374,0.6666666667,9,-1.013066541,7.680948309,-1.182521954,stoploss
479,0.6666666667,5,0.5678695844,0.5454545455,11,-1.019943664,6.64648837,-1.387659132,stoploss
480,0.5,5,0.4344745319,0.8181818182,11,-1.023069444,5.04740214,-3.123987232,stoploss
481,0.5560344828,46,0.6509396995,0.9375,240,7.01927527,8.72303279,-0.6208172078,time_exit
482,0,2,0,0.6666666667,3,-1.011459173,4.758103148,-2.540116612,stoploss
483,0,0,0,0,3,-1.020055635,5.984601478,-1.941385466,stoploss
484,0,1,0.3718814734,0.6666666667,3,-1.030891113,2.188516531,-4.842775993,stoploss
485,0,1,0,0.25,4,-1.016925027,0.162281146,-8.087176373,stoploss
486,0.5,12,0.287464339,0.5967741935,62,-1.01165396,4.216791083,-2.029731313,stoploss
487,0.5,1,0,0.08333333333,12,-1.012370309,3.046188513,-3.717277759,stoploss
488,0,2,0.8433490992,0.8333333333,12,-1.007011216,0.1732771902,-8.442505412,stoploss
489,0.5043103448,29,0.3339029195,0.3583333333,240,0.8429297479,5.805941324,-0.5498890737,time_exit
490,0,0,0,0,2,-1.019209583,5.755797768,-1.9826312,stoploss
491,0.5299145299,12,1.286932799,0.7251908397,131,-1.017483803,6.183022112,-1.9594348,stoploss
492,0.5555555556,3,0.5071897536,0.24,25,-1.014056067,6.117903194,-2.340335168,stoploss
493,0.4285714286,3,0.3165284194,0.2307692308,26,-1.019845042,5.956489348,-1.059725241,stoploss
494,0.5714285714,5,0.2040648927,0.35,20,-1.010464866,1.177297458,-5.766141326,stoploss
495,0,0,0,0,3,-1.021347148,5.419928495,-3.179601501,stoploss
496,0,2,0,0.2857142857,7,-1.02167288,8.951802298,-1.048425549,stoploss
497,0.5,3,0.2642835149,0.3529411765,17,-1.019769239,2.429535462,-4.522993855,stoploss
498,0.625,5,0.1178493165,0.4117647059,17,-1.008222045,1.470832555,-8.592950938,stoploss
499,0.5,4,0,0.3076923077,13,-1.010419752,0.8606714785,-7.004156996,stoploss
500,0,0,0,0,3,-1.007914066,0.08479356168,-6.201235811,stoploss
501,0.5,4,0.5587497856,0.4,15,-1.018191853,1.018743795,-9.290839459,stoploss
502,1,2,0.4018690004,0.3076923077,13,-1.010199721,0.4385879954,-9.153229467,stoploss
503,0,1,0,0.25,4,-1.025771645,5.045106376,-3.270544513,stoploss
504,0.5666666667,21,1.152505124,0.9416666667,240,5.705757247,6.390191053,-0.1510252998,time_exit
505,0.375,3,0.1487530124,0.3333333333,15,-1.014131536,1.645952081,-5.452541667,stoploss
506,0.4871794872,19,0.963103709,0.3166666667,240,2.896864881,7.946549818,-0.6710251985,time_exit
507,0,0,0,0,3,-1.012018194,2.764184733,-4.491370969,stoploss
508,0,1,0,1,1,-1.017060431,0.3558318524,-8.035463132,stoploss
509,0,1,0,1,1,-1.008295624,1.997401799,-8.156441401,stoploss
510,0.5188284519,39,0.532366706,0.8083333333,240,5.533929537,6.673596917,-0.2158545676,time_exit
511,0,1,0,0.1428571429,7,-1.01797666,1.245183311,-6.050943732,stoploss
512,0.5652173913,6,0.524706623,0.6538461538,26,-1.01743738,6.507313255,-1.331581762,stoploss
513,0.3333333333,2,0.1862251794,0.3333333333,9,-1.012992454,5.254725992,-1.709229554,stoploss
514,0.5168067227,22,0.7295167167,0.4958333333,240,5.832294171,6.391910284,-0.6834419766,time_exit
515,0.5,1,0.1036941176,0.1052631579,19,-1.01091517,4.316949843,-5.285125447,stoploss
516,0.5481171548,50,0.4809108345,0.8958333333,240,7.032406066,7.697156585,-0.3237645012,time_exit
517,0,0,0,0,2,-1.022885976,2.56443387,-5.484202635,stoploss
518,0,1,0,0.05882352941,17,-1.011348543,0.4221657981,-3.824458977,stoploss
519,0.4615384615,3,0.3352648885,0.6,15,-1.010342362,2.923440878,-5.247024784,stoploss
520,0,1,0,0.2,5,-1.008326053,0.4912371398,-6.41938703,stoploss
521,0.6666666667,4,0,0.4444444444,9,-1.009812296,3.288520839,-2.635302292,stoploss
